Occasion,Date,SEC,IND,PASS,VALID,SPE_COR,LEN_COR,WEIGH_COR,TAGID,RECAP_COR,RECAP ,MORTAL,GENETIC,TAGGER    ,COMMENTS            
1,20150916,6,28,2,Y,BHC,70,4.1,a0900067000077096  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,29,2,Y,BHC,111,15.1,a0900067000077179  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,30,2,Y,BHC,100,10.9,a0900067000077037  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,31,2,Y,BHC,67,3.9,a0900067000077448  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,32,2,Y,BHC,95,9.5,a0900067000077310  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,33,2,Y,BHC,76,4.6,a0900067000077365  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,34,2,Y,BHC,70,4.8,a0900067000077104  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,1,1,Y,BHC,120,17.2,a0900067000077084  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,2,1,Y,STJ,181,53,a0900067000077446  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,3,1,Y,STJ,140,26,a0900067000077468  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,4,1,Y,STJ,138,24.6,a0900067000077353  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,5,1,Y,BHC,121,21.9,a0900067000077200  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,6,1,Y,BHC,104,12.3,a0900067000077229  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,7,1,Y,STJ,130,21.5,a0900067000077466  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,8,1,Y,STJ,225,102.1,a0900067000077311  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,9,1,Y,STJ,110,14.2,a0900067000077241  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,10,1,Y,STJ,134,23.3,a0900067000077426  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,11,1,Y,BHC,144,30,a0900067000077391  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,12,1,Y,BHC,110,16.8,a0900067000077013  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,13,1,Y,BHC,103,12.5,a0900067000077305  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,14,1,Y,BHC,65,4.1,a0900067000077117  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,15,1,Y,BHC,65,4.4,a0900067000077049  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,16,1,Y,STJ,123,17.8,a0900067000077387  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,17,1,Y,BHC,93,10.2,a0900067000077202  ,N     ,N     ,N     ,N,PREGLER   ,
