Date,st_occation,end_occation,Todd_WL,Indian_WL
2016/11/19,8 ,9 ,0.232,0.165
2016/11/20,8 ,9 ,0.232,0.165
2016/11/21,8 ,9 ,0.233,0.166
2016/11/22,8 ,9 ,0.234,0.166
2016/11/23,8 ,9 ,0.234,0.165
2016/11/24,8 ,9 ,0.236,0.164
2016/11/25,8 ,9 ,0.236,0.165
2016/11/26,8 ,9 ,0.234,0.193
2016/11/27,8 ,9 ,0.232,0.190
2016/11/28,8 ,9 ,0.234,0.181
2016/11/29,8 ,9 ,0.317,0.170
2016/11/30,8 ,9 ,0.307,0.167
2016/12/1,8 ,9 ,0.281,0.174
2016/12/2,8 ,9 ,0.249,0.178
2016/12/3,8 ,9 ,0.241,0.181
2016/12/4,8 ,9 ,0.261,0.176
2016/12/5,8 ,9 ,0.272,0.170
2016/12/6,8 ,9 ,0.283,0.166
2016/12/7,8 ,9 ,0.267,0.165
2016/12/8,8 ,9 ,0.25,0.164
2016/12/9,8 ,9 ,0.238,0.166
2016/12/10,8 ,9 ,0.234,0.166
2016/12/11,8 ,9 ,0.233,0.166
2016/12/12,8 ,9 ,0.238,0.164
2016/12/13,8 ,9 ,0.239,0.162
2016/12/14,8 ,9 ,0.239,0.163
2016/12/15,8 ,9 ,0.233,0.165
2016/12/16,8 ,9 ,0.227,0.164
2016/12/17,8 ,9 ,0.231,0.163
2016/12/18,8 ,9 ,0.237,0.162
2016/12/19,8 ,9 ,0.232,0.163
2016/12/20,8 ,9 ,0.229,0.162
2016/12/21,8 ,9 ,0.228,0.164
2016/12/22,8 ,9 ,0.231,0.163
2016/12/23,8 ,9 ,0.228,0.164
2016/12/24,8 ,9 ,0.232,0.164
2016/12/25,8 ,9 ,0.23,0.164
2016/12/26,8 ,9 ,0.232,0.176
2016/12/27,8 ,9 ,0.234,0.166
2016/12/28,8 ,9 ,0.232,0.164
2016/12/29,8 ,9 ,0.269,0.167
2016/12/30,8 ,9 ,0.239,0.180
2016/12/31,8 ,9 ,0.232,0.196
2017/1/1,8 ,9 ,0.243,0.179
2017/1/2,8 ,9 ,0.281,0.173
2017/1/3,8 ,9 ,0.327,0.172
2017/1/4,8 ,9 ,0.276,0.173
2017/1/5,8 ,9 ,0.259,0.170
2017/1/6,8 ,9 ,0.255,0.169
2017/1/7,9 ,10 ,0.259,0.168
2017/1/8,9 ,10 ,0.252,0.170
2017/1/9,9 ,10 ,0.248,0.170
2017/1/10,9 ,10 ,0.246,0.169
2017/1/11,9 ,10 ,0.25,0.168
2017/1/12,9 ,10 ,0.251,0.169
2017/1/13,9 ,10 ,0.249,0.168
2017/1/14,9 ,10 ,0.246,0.169
2017/1/15,9 ,10 ,0.248,0.168
2017/1/16,9 ,10 ,0.245,0.167
2017/1/17,9 ,10 ,0.247,0.171
2017/1/18,9 ,10 ,0.244,0.190
2017/1/19,9 ,10 ,0.242,0.202
2017/1/20,9 ,10 ,0.253,0.209
2017/1/21,9 ,10 ,0.31,0.188
2017/1/22,9 ,10 ,0.344,0.181
2017/1/23,9 ,10 ,0.366,0.178
2017/1/24,9 ,10 ,0.304,0.173
2017/1/25,9 ,10 ,0.282,0.171
2017/1/26,9 ,10 ,0.273,0.169
