Date,Todd_WL,Indian_WL
12/19/2017,0.236,0.173
12/20/2017,0.31,0.209
12/21/2017,0.291,0.192
12/22/2017,0.267,0.181
12/23/2017,0.26,0.179
12/24/2017,0.254,0.173
12/25/2017,0.245,0.166
12/26/2017,0.239,0.162
12/27/2017,0.239,0.161
12/28/2017,0.237,0.159
12/29/2017,0.236,0.16
12/30/2017,0.237,0.161
12/31/2017,0.235,0.158
1/1/2018,0.232,0.155
1/2/2018,0.227,0.15
1/3/2018,0.232,0.155
1/4/2018,0.232,0.155
1/5/2018,0.23,0.151
1/6/2018,0.229,0.15
1/7/2018,0.227,0.148
1/8/2018,0.231,0.153
1/9/2018,0.235,0.158
1/10/2018,0.238,0.161
1/11/2018,0.275,0.182
1/12/2018,0.401,0.23
1/13/2018,0.354,0.201
1/14/2018,0.281,0.177
1/15/2018,0.264,0.168
1/16/2018,0.259,0.167
1/17/2018,0.256,0.165
1/18/2018,0.247,0.159
1/19/2018,0.248,0.16
1/20/2018,0.247,0.159
1/21/2018,0.248,0.162
1/22/2018,0.249,0.164
1/23/2018,0.275,0.174
1/24/2018,0.253,0.161
1/25/2018,0.249,0.16
1/26/2018,0.245,0.159
1/27/2018,0.246,0.162
1/28/2018,0.3,0.178
1/29/2018,0.288,0.181
1/30/2018,0.264,0.169
1/31/2018,0.255,0.163
2/1/2018,0.254,0.164
2/2/2018,0.251,0.163
2/3/2018,0.245,0.158
2/4/2018,0.384,0.225
2/5/2018,0.319,0.196
2/6/2018,0.29,0.18
2/7/2018,0.536,0.285
2/8/2018,0.389,0.221
2/9/2018,0.315,0.193
2/10/2018,0.314,0.193
2/11/2018,0.477,0.253
2/12/2018,0.413,0.226
2/13/2018,0.335,0.2
2/14/2018,0.309,0.19
2/15/2018,0.301,0.188
2/16/2018,0.313,0.186
2/17/2018,0.308,0.183
2/18/2018,0.293,0.18
2/19/2018,0.291,0.184
2/20/2018,0.284,0.18
2/21/2018,0.281,0.18
2/22/2018,0.288,0.182
2/23/2018,0.279,0.18
2/24/2018,0.278,0.179
2/25/2018,0.276,0.179
2/26/2018,0.283,0.176
2/27/2018,0.275,0.171
2/28/2018,0.285,0.181
3/1/2018,0.406,0.244
3/2/2018,0.34,0.206
3/3/2018,0.305,0.188
3/4/2018,0.296,0.181
3/5/2018,0.288,0.176
3/6/2018,0.302,0.182
3/7/2018,0.291,0.174
3/8/2018,0.28,0.17
3/9/2018,0.276,0.168
3/10/2018,0.289,0.172
3/11/2018,0.29,0.175
3/12/2018,0.307,0.185
3/13/2018,0.304,0.175
3/14/2018,0.292,0.171
3/15/2018,0.281,0.169
3/16/2018,0.284,0.172
3/17/2018,0.28,0.174
3/18/2018,0.283,0.175
3/19/2018,0.285,0.175
3/20/2018,0.37,0.207
3/21/2018,0.3,0.18
3/22/2018,0.292,0.174
3/23/2018,0.284,0.17
