"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"218",NA,NA,NA,NA,NA,17109,17171,17225,17298,NA,NA,NA,NA,NA
"219",NA,NA,NA,NA,NA,17109,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,17114,NA,NA,17300,17353,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA,17114,NA,NA,NA,NA,17422,NA,NA,NA
"222",NA,NA,NA,NA,NA,17114,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA,17114,17171,17232,17300,NA,NA,NA,NA,NA
"224",NA,NA,NA,NA,NA,17114,17171,NA,17300,NA,NA,NA,NA,NA
"225",NA,NA,NA,NA,NA,17114,NA,NA,17300,NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA,17109,NA,NA,17298,NA,NA,NA,NA,NA
"227",NA,NA,NA,NA,NA,17116,NA,17232,17300,NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA,17116,17171,NA,17300,NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA,17116,NA,NA,NA,NA,17422,17475,NA,NA
"230",NA,NA,NA,NA,17056,17116,NA,NA,NA,17354,17422,NA,NA,NA
"231",NA,NA,NA,NA,17056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,NA,NA,NA,17056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,NA,NA,NA,17056,NA,NA,NA,NA,NA,17422,17475,NA,NA
"234",NA,NA,NA,NA,17056,NA,NA,NA,17300,17353,17422,17475,NA,NA
"235",NA,NA,NA,NA,17056,17116,17171,NA,NA,17354,17422,17476,NA,NA
"236",NA,NA,NA,NA,NA,17114,17171,17228,17300,17353,17419,17473,NA,17594
"237",NA,NA,NA,NA,NA,17114,17171,NA,NA,17353,NA,17475,17549,17594
"238",NA,NA,NA,NA,NA,17114,NA,NA,17300,NA,17419,NA,NA,NA
"239",NA,NA,NA,NA,NA,17114,17171,NA,NA,NA,NA,NA,NA,NA
"240",NA,NA,NA,NA,NA,17114,17171,NA,NA,NA,NA,NA,NA,NA
"241",NA,NA,NA,NA,NA,17109,NA,17228,NA,NA,NA,NA,NA,NA
"242",NA,NA,NA,NA,NA,17114,NA,NA,NA,NA,NA,NA,NA,NA
"243",NA,NA,NA,NA,NA,17114,NA,NA,17298,NA,NA,NA,NA,NA
"244",NA,NA,NA,NA,NA,17114,NA,NA,NA,NA,NA,NA,NA,NA
"245",NA,NA,NA,NA,NA,17114,NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,NA,NA,NA,NA,17109,NA,17228,NA,NA,NA,NA,NA,NA
"247",NA,NA,NA,NA,NA,17114,NA,NA,NA,NA,NA,NA,NA,NA
