"","ID","Y","Yrecap","DL","UL","Size","IND_ID","Period","St_occ","End_occ"
"1329",381,NA,0,-28,9,55,"a0982000407050168  ",3,5,6
"1330",382,NA,0,-14,23,130,"a0982000407050338  ",3,5,6
"1331",383,0,1,-24,13,73,"a0982000407050354  ",3,5,6
"1366",418,NA,0,-31,6,86,"a0982000407050952  ",3,5,6
"1409",461,NA,0,-9,28,56,"a0982000407069660  ",3,5,6
"1410",462,NA,0,-6,31,55,"a0982000407069685  ",3,5,6
"1411",463,NA,0,-7,30,85,"a0982000407069686  ",3,5,6
"1412",464,NA,0,-26,11,78,"a0982000407069692  ",3,5,6
"1413",465,NA,0,-7,30,79,"a0982000407069693  ",3,5,6
"1414",466,NA,0,-4,33,70,"a0982000407069694  ",3,5,6
"1415",467,NA,0,-6,31,60,"a0982000407069697  ",3,5,6
"1416",468,NA,0,-9,28,53,"a0982000407069717  ",3,5,6
"1417",469,NA,0,-7,30,50,"a0982000407069719  ",3,5,6
"1418",470,NA,0,-7,30,59,"a0982000407069731  ",3,5,6
"1419",471,14,1,-8,29,60,"a0982000407069744  ",3,5,6
"1420",472,NA,0,-17,20,61,"a0982000407069748  ",3,5,6
"1421",473,NA,0,-4,33,55,"a0982000407069749  ",3,5,6
"1422",474,NA,0,-4,33,86,"a0982000407069755  ",3,5,6
"1528",106,NA,0,-13,24,75,"a0900067000077120  ",4,6,7
"1529",107,0,1,-24,13,88,"a0900067000077141  ",4,6,7
"1534",112,0,1,-17,20,100,"a0900067000077227  ",4,6,7
"1535",113,NA,0,-13,24,94,"a0900067000077263  ",4,6,7
"1539",117,NA,0,-15,22,121,"a0900067000077300  ",4,6,7
"1544",122,3,1,-29,8,82,"a0900067000080089  ",4,6,7
"1547",125,NA,0,-24,13,80,"a0900067000080133  ",4,6,7
"1558",136,3,1,-29,8,90,"a0900067000080301  ",4,6,7
"1560",138,NA,0,-24,13,102,"a0900067000080329  ",4,6,7
"1562",140,NA,0,-4,33,80,"a0900067000080344  ",4,6,7
"1568",146,NA,0,-15,22,124,"a0900067000080428  ",4,6,7
"1584",162,0,1,-27,10,113,"a0900067000080629  ",4,6,7
"1594",172,NA,0,-23,14,75,"a0900067000080809  ",4,6,7
"1596",174,NA,0,-11,26,115,"a0900067000080879  ",4,6,7
"1601",179,NA,0,-23,14,105,"a0900067000085019  ",4,6,7
"1605",183,NA,0,-33,4,76,"a0900067000085079  ",4,6,7
"1609",187,NA,0,-28,9,117,"a0900067000085149  ",4,6,7
"1614",192,NA,0,-23,14,148,"a0900067000085227  ",4,6,7
"1615",193,NA,0,-27,10,75,"a0900067000085232  ",4,6,7
"1617",195,NA,0,-15,22,123,"a0900067000085268  ",4,6,7
"1618",196,NA,0,-26,11,81,"a0900067000085279  ",4,6,7
"1622",200,0,1,-15,22,113,"a0900067000085386  ",4,6,7
"1625",203,NA,0,-29,8,80,"a0900067000085431  ",4,6,7
"1627",205,0,1,-31,6,77,"a0900067000085436  ",4,6,7
"1628",206,0,1,-22,15,79,"a0900067000085449  ",4,6,7
"1630",208,0,1,-26,11,91,"a0900067000085460  ",4,6,7
"1631",209,NA,0,-22,15,114,"a0900067000085479  ",4,6,7
"1632",210,NA,0,-27,10,121,"a0900067000085489  ",4,6,7
"1760",338,NA,0,-10,27,100,"a0982000403060053  ",4,6,7
"1762",340,NA,0,-12,25,87,"a0982000403060057  ",4,6,7
"1764",342,NA,0,-11,26,120,"a0982000403060082  ",4,6,7
"1765",343,NA,0,-13,24,101,"a0982000403060095  ",4,6,7
"1769",347,NA,0,-13,24,91,"a0982000403060111  ",4,6,7
"1770",348,NA,0,-7,30,122,"a0982000403060113  ",4,6,7
"1773",351,NA,0,-11,26,98,"a0982000403060137  ",4,6,7
"1776",354,12,1,-11,26,122,"a0982000403060451  ",4,6,7
"1779",357,NA,0,-18,19,151,"a0982000403060458  ",4,6,7
"1780",358,NA,0,-15,22,125,"a0982000403060461  ",4,6,7
"1782",360,NA,0,-16,21,126,"a0982000403060476  ",4,6,7
"1788",366,NA,0,-2,35,148,"a0982000403060507  ",4,6,7
"1791",369,NA,0,-7,30,122,"a0982000403060536  ",4,6,7
"1793",371,NA,0,-33,4,96,"a0982000407050053  ",4,6,7
"1794",372,NA,0,-33,4,112,"a0982000407050056  ",4,6,7
"1796",374,0,1,-22,15,69,"a0982000407050099  ",4,6,7
"1802",380,NA,0,-21,16,77,"a0982000407050162  ",4,6,7
"1805",383,NA,0,-24,13,76,"a0982000407050354  ",4,6,7
"1806",384,NA,0,-9,28,60,"a0982000407050384  ",4,6,7
"1807",385,NA,0,-32,5,55,"a0982000407050389  ",4,6,7
