Occasion,Date,SEC,IND,PASS,SPE,LEN,WEIGH,TAGNUMBER         ,RECAP ,MORTAL,GENETIC,TAGGER    ,COMMENTS            ,,,,,,,,,,,,,,,
1,20150913,16,NA,NA,MTS,69,3.5,0900067000077167  ,N     ,Y     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,16,NA,NA,MTS,68,3.6,0900067000077238  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,16,NA,NA,BHC,132,21.8,0900067000077057  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,16,NA,NA,MTS,58,2.3,0900067000077336  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,16,NA,NA,MTS,60,2.6,0900067000077454  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,MTS,84,6.4,0900067000077125  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,MTS,66,3.8,0900067000077497  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,BHC,57,1.7,0900067000077392  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,MTS,59,2.7,0900067000077277  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,MTS,65,3.3,0900067000077133  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,MTS,65,3.3,0900067000077338  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,MTS,58,2.2,0900067000077176  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,MTS,63,2.8,0900067000077355  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,BHC,69,3.2,0900067000077227  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,STJ,101,10.1,0900067000077317  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
