"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"169",3.26683,0.66121,-0.0531025,-0.194375,-0.0358174,0.0924274,0.114206,0.292413,0
"170",3.42724,0.479834,0.0373435,-0.192139,-0.0435301,-0.0332872,0.113395,0.305404,1
"171",3.37915,0.592601,-0.0105857,-0.200096,-0.0895413,-0.145725,0.114173,0.283305,1
"172",3.34228,0.603281,-0.101514,0.0489732,-0.0381586,-0.122741,0.116021,0.270933,0
"173",3.33381,0.632718,-0.0559241,-0.0375956,-0.0386742,0.0486927,0.110824,0.269472,1
"174",3.33716,0.578526,-0.105105,-0.034625,-0.0447363,-0.0742918,0.106192,0.286496,1
"175",3.36361,0.563478,-0.0559149,-0.0671526,-0.117508,-0.246558,0.110708,0.284217,0
"176",3.42056,0.579133,-0.0183823,-0.150391,-0.0499721,-0.0988146,0.113579,0.283629,1
"177",3.32876,0.604444,0.0435309,-0.0941513,-0.0422307,-0.162021,0.110325,0.284498,1
"178",3.38971,0.568837,-0.122691,-0.000551906,-0.0928409,-0.197913,0.106352,0.295527,0
"179",3.32522,0.600606,-0.0770845,-0.207147,-0.0936401,-0.178486,0.107458,0.284322,0
"180",3.38098,0.64945,-0.0216141,-0.13612,-0.0964456,-0.178295,0.107029,0.274201,1
"181",3.35819,0.595574,0.0491918,-0.248626,-0.0817208,0.023923,0.103688,0.285164,0
"182",3.38964,0.521578,-0.0573992,-0.0454112,-0.0462269,0.0228973,0.110567,0.286035,1
"183",3.39415,0.548229,-0.0560838,-0.165465,-0.0904024,-0.189452,0.10379,0.288396,0
"184",3.41246,0.388029,-0.0204548,-0.0486617,-0.0643846,-0.00122668,0.101396,0.264276,1
"185",3.38232,0.556027,0.00902372,-0.139599,-0.0586289,-0.294855,0.108767,0.270043,0
"186",3.41049,0.452086,-0.0553258,-0.0953579,-0.0935206,-0.220609,0.115329,0.279756,1
"187",3.32749,0.653536,-0.0781513,-0.0906798,-0.0688383,-0.2161,0.109365,0.253353,0
"188",3.40053,0.555063,0.0433495,-0.0684905,-0.102654,-0.134672,0.117875,0.27514,0
"189",3.3284,0.647779,0.0243403,-0.197711,-0.0145999,-0.218894,0.112638,0.289007,0
"190",3.35458,0.588467,-0.0625371,-0.165188,-0.0777831,-0.0275705,0.112544,0.28154,1
"191",3.35207,0.619605,-0.0716032,-0.0873493,-0.0482617,-0.177427,0.115867,0.281512,0
"192",3.37607,0.540432,-0.0965911,-0.0544983,-0.0585703,-0.0148205,0.119204,0.287714,0
"193",3.34664,0.556799,0.0550203,-0.144205,-0.106975,-0.0618024,0.110179,0.264479,1
"194",3.40985,0.414674,-0.0359722,-0.114292,-0.0963798,-0.145015,0.109746,0.272659,1
"195",3.28612,0.584797,-0.0315775,-0.0597722,-0.0675409,-0.00919492,0.111169,0.287702,0
"196",3.32484,0.716998,-0.0388956,-0.125586,-0.0977848,0.184621,0.107193,0.284484,0
"197",3.39875,0.473151,-0.0303844,-0.0735803,-0.0446873,-0.0137063,0.108842,0.272631,0
"198",3.38019,0.638098,0.0248073,-0.23536,-0.0411371,-0.0900676,0.10295,0.267066,0
"199",3.37557,0.437433,0.0146904,-0.203258,-0.0433966,-0.125235,0.112482,0.292859,1
"200",3.38945,0.625099,0.0382828,-0.308343,-0.0845765,-0.179687,0.113404,0.271141,0
"201",3.35729,0.595971,0.0105406,-0.126176,-0.116061,-0.130561,0.104173,0.292969,0
"202",3.30488,0.644183,0.029466,-0.0410357,-0.124109,-0.232831,0.113869,0.299076,0
"203",3.33168,0.504823,-0.0552525,-0.0709318,-0.0516935,0.152118,0.109645,0.273345,0
"204",3.29931,0.655192,0.0211194,-0.206563,0.0016573,0.15113,0.114972,0.274961,1
"205",3.37956,0.576214,0.0232481,-0.0904989,-0.020526,0.258086,0.109707,0.293052,1
