"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"193",3.37246,0.0345729,0.018544,0.239877,0.0390165,0.140258,0.129914,0.193817,0
"194",3.30639,0.0246374,0.0329826,0.270494,0.0445064,0.217633,0.131059,0.188279,0
"195",3.23835,0.086938,0.00733442,0.331711,0.0654258,0.277759,0.129383,0.187639,0
"196",3.31784,-0.0210481,0.0107983,0.326205,0.0757242,0.226284,0.129782,0.191809,0
"197",3.30724,-0.0381155,0.017249,0.231639,0.0680946,0.247238,0.132728,0.190847,1
"198",3.2643,0.0399861,-0.0214634,0.335013,0.0388587,0.276865,0.134632,0.195444,0
"199",3.32143,-0.0243392,0.00612322,0.268099,0.0582665,0.219675,0.126493,0.183598,1
"200",3.26787,0.0204319,0.0404111,0.32803,0.069838,0.223869,0.135304,0.189543,0
"201",3.27966,-0.0149779,-0.0252132,0.361425,0.0863836,0.198125,0.126614,0.19582,1
"202",3.26673,0.0691227,0.0165534,0.336593,0.0694228,0.219074,0.129259,0.199304,0
"203",3.3157,0.0192597,0.0508775,0.241204,0.08213,0.189589,0.131149,0.195414,0
"204",3.30934,-0.0292367,0.00852782,0.270773,0.0963313,0.258269,0.132852,0.194979,1
"205",3.31289,-0.00583883,0.0131412,0.262357,0.0687715,0.227043,0.130583,0.190035,0
"206",3.37542,-0.109952,-0.0122757,0.288255,0.0100999,0.163802,0.133405,0.20182,0
"207",3.37615,-0.0218103,-0.04376,0.310803,0.0255239,0.152148,0.129163,0.192396,0
"208",3.3241,-0.0239073,0.00289763,0.309598,0.0768106,0.231731,0.126846,0.189286,0
"209",3.23588,-0.0214866,0.0511251,0.299194,0.0634846,0.308385,0.133197,0.197732,0
"210",3.32913,-0.00366163,0.0230065,0.327377,0.0417312,0.131962,0.13415,0.201851,0
"211",3.27828,-0.00214161,0.0144615,0.322173,0.0655716,0.260305,0.128097,0.19591,1
"212",3.37816,-0.0177318,0.00417676,0.349468,0.0586803,0.187319,0.135097,0.195606,1
"213",3.36208,-0.0625648,-0.0159109,0.328957,0.0344789,0.140225,0.13292,0.189287,1
"214",3.40127,-0.021455,-0.0428277,0.28022,0.0147142,0.109329,0.126221,0.187636,0
"215",3.26951,0.0301813,0.0374694,0.227354,0.0863258,0.238385,0.124309,0.188789,1
"216",3.26631,0.0246521,0.0178745,0.287236,0.106204,0.248315,0.132172,0.194577,0
"217",3.44963,-0.0251094,-0.0176219,0.327408,0.108596,0.131629,0.133423,0.199011,1
"218",3.31462,-0.00250875,0.0155238,0.296456,0.0768229,0.247409,0.131976,0.191451,0
"219",3.28606,0.0264161,0.03333,0.271902,0.088032,0.223745,0.130755,0.190324,0
"220",3.33435,-0.028891,0.0202139,0.269258,0.0787896,0.19344,0.131661,0.194623,1
"221",3.26515,0.0236527,0.032506,0.301269,0.0741169,0.297873,0.128192,0.199467,1
"222",3.23901,-0.0342108,0.0715496,0.269294,0.0732829,0.309366,0.132651,0.185315,1
"223",3.22047,0.0287833,-0.00318902,0.362704,0.0746679,0.246828,0.126623,0.194257,0
"224",3.31745,0.0601673,-0.0378581,0.344266,0.0730936,0.165051,0.126717,0.195071,0
"225",3.31959,0.00253459,0.0232147,0.300923,0.0611721,0.204272,0.133467,0.191885,0
"226",3.28607,-0.0229262,0.0512268,0.264831,0.0995232,0.225213,0.12904,0.192343,0
"227",3.29507,0.031445,0.0222115,0.268494,0.0927369,0.255327,0.129938,0.191625,0
"228",3.26202,0.00761374,-0.00014349,0.34541,0.0817833,0.284893,0.127705,0.192793,1
"229",3.23674,-0.0241731,0.0393957,0.296131,0.0741197,0.307394,0.130188,0.188585,0
"230",3.35063,-0.0370389,0.0185201,0.281449,0.0783124,0.202062,0.133123,0.181675,0
"231",3.31295,0.0357817,0.00288511,0.289625,0.0362955,0.188935,0.132973,0.205697,0
"232",3.29335,-0.0614944,0.0386678,0.250509,0.0826451,0.26018,0.130838,0.194202,1
"233",3.23729,0.0381812,0.055326,0.31463,0.0192771,0.205483,0.127165,0.186658,1
"234",3.29222,-0.0578866,-0.0327083,0.434966,0.0586377,0.25955,0.132925,0.196318,0
"235",3.30368,0.0107108,0.00977617,0.3437,0.0360636,0.183479,0.131151,0.189929,0
"236",3.27812,0.0111242,0.0509484,0.287668,0.0621825,0.262133,0.128042,0.189946,0
"237",3.38455,0.0168757,0.00938735,0.300373,0.0646637,0.131237,0.1272,0.182095,0
"238",3.38259,-0.0921131,-0.0523315,0.394564,0.0912733,0.189756,0.129243,0.202162,0
"239",3.21688,-0.0182563,0.041236,0.319914,0.114361,0.355357,0.125875,0.197787,0
"240",3.22279,0.0165563,0.0715833,0.306844,0.0358582,0.250459,0.130627,0.195925,0
"241",3.33299,-0.0324586,0.00223006,0.337677,0.157819,0.19809,0.129801,0.187302,1
"242",3.25427,0.000634815,0.0511449,0.341808,0.0360628,0.261653,0.130979,0.192031,0
"243",3.2542,-0.00368876,0.061429,0.219253,0.0594408,0.327315,0.131364,0.199295,1
"244",3.34112,-0.0455134,-0.00880443,0.274895,0.0956535,0.179173,0.13156,0.193946,0
"245",3.27732,-0.0142046,0.00279157,0.385392,0.0797215,0.275083,0.128893,0.199071,0
"246",3.29642,0.105264,-0.0122025,0.311598,0.0739727,0.236031,0.131741,0.195029,0
"247",3.34331,-0.0253505,0.0314991,0.293495,0.0317731,0.193954,0.131733,0.192011,0
"248",3.38576,-0.0325242,-0.0194519,0.32394,0.077329,0.140498,0.131874,0.185747,0
"249",3.16926,0.00272585,0.0941166,0.266547,0.0660143,0.383311,0.131241,0.194824,1
"250",3.22994,-0.0307688,0.0511512,0.262053,0.0678206,0.343102,0.131877,0.183983,1
"251",3.32239,-0.00760008,0.0334167,0.312621,0.0407552,0.134382,0.129944,0.188356,0
"252",3.22411,-0.000733211,0.0715995,0.268366,0.0971646,0.331812,0.130216,0.201813,1
"253",3.30745,0.0278143,-0.000190018,0.222387,0.115303,0.200679,0.128425,0.200161,1
"254",3.29059,-0.0249775,0.0370272,0.285048,0.0557867,0.267076,0.133315,0.194101,1
"255",3.21312,0.0379443,0.0233086,0.264364,0.0994618,0.275404,0.130969,0.192348,0
"256",3.30517,-0.0303197,0.062899,0.229006,0.0865358,0.212152,0.128073,0.18803,1
"257",3.29566,0.0351469,0.0448479,0.335933,0.0974994,0.233628,0.127948,0.19787,0
"258",3.30627,-0.0148874,-0.033458,0.365844,0.0429722,0.250118,0.129811,0.189165,0
"259",3.28453,-0.0213142,0.0412113,0.260284,0.0554923,0.240135,0.131634,0.197441,1
"260",3.29427,-0.0374114,-0.000660974,0.339082,0.046096,0.231628,0.131245,0.196001,1
"261",3.343,-0.0749491,-0.0208952,0.349046,0.0855096,0.175429,0.129419,0.190523,1
"262",3.33914,-0.0535218,0.0293841,0.323799,0.0705496,0.236084,0.126909,0.189526,1
"263",3.32535,0.161598,0.0109479,0.223342,0.0476912,0.0671459,0.12775,0.18534,0
"264",3.2909,-0.0518672,0.017228,0.332617,0.093239,0.23214,0.131709,0.195545,0
"265",3.23997,-0.0509617,0.0411407,0.274664,0.0644959,0.289117,0.131564,0.187164,0
"266",3.3308,0.0259129,0.00341422,0.339133,0.0856951,0.166205,0.12787,0.191229,0
"267",3.23587,-0.0332856,0.00347638,0.28982,0.0453118,0.257433,0.129996,0.183025,0
"268",3.2758,-0.024921,0.0337457,0.312516,0.0719418,0.239909,0.129486,0.190444,1
"269",3.32646,0.0218572,0.00936359,0.274024,0.0731006,0.198998,0.128981,0.188885,1
"270",3.30851,-0.0143361,0.0376018,0.283178,0.0602068,0.236651,0.130629,0.193593,0
"271",3.38564,-0.0386268,-0.00810484,0.318533,0.040685,0.121681,0.132425,0.185358,1
"272",3.30257,-0.0906849,0.00893748,0.310202,0.052883,0.23635,0.132121,0.190844,0
"273",3.27994,0.0797838,0.029656,0.242884,0.0937519,0.265373,0.126218,0.192009,0
"274",3.30736,-0.0377722,0.0234352,0.274587,0.0825852,0.23946,0.127098,0.195374,0
"275",3.37191,-0.0521506,0.0258835,0.267632,0.0541872,0.161184,0.131024,0.193075,0
"276",3.24472,-0.030366,0.0461133,0.26881,0.108678,0.316026,0.125723,0.189707,1
"277",3.26609,-0.0210203,0.0593342,0.310335,0.008004,0.196114,0.128157,0.196737,0
"278",3.29336,-0.0107344,0.00663273,0.337104,0.0695446,0.279903,0.133623,0.183514,1
"279",3.27148,0.0274472,0.0237797,0.336916,0.0529787,0.234539,0.128033,0.200802,0
"280",3.36222,-0.0282384,-0.0204201,0.284164,0.0574241,0.161244,0.131569,0.189283,1
"281",3.34062,0.0293825,0.041301,0.200445,0.0581366,0.183078,0.129106,0.201707,0
"282",3.30838,0.0100681,-0.0239723,0.344596,0.0750593,0.181268,0.134422,0.191616,0
