"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"182",3.25252,0.530264,-0.115493,0.0745647,0.0168246,6.81886,0.294817
"183",3.23377,0.492604,-0.0892931,0.0920226,-0.0798884,6.48188,0.275078
"184",3.26457,0.53246,-0.121885,0.130105,-0.352127,6.72761,0.291175
"185",3.24988,0.508891,-0.0929558,0.00321916,-0.0221279,6.60915,0.285761
"186",3.15951,0.561656,-0.0296642,0.0437177,-0.150494,6.90804,0.285783
"187",3.1758,0.584474,-0.0577078,0.0394868,-0.167062,6.66755,0.28595
"188",3.36392,0.489225,-0.0649131,0.0922991,-0.170593,6.5288,0.288671
"189",3.34807,0.451673,-0.0187935,0.0545845,-0.212809,6.57882,0.284963
"190",3.20789,0.568632,-0.0967432,0.0627229,-0.0921508,6.78177,0.274564
"191",3.23777,0.505116,-0.110213,0.0965428,-0.023496,7.25564,0.275183
"192",3.25139,0.5106,-0.0467048,0.0383255,-0.155601,6.44619,0.276827
"193",3.28216,0.416078,-0.0562615,0.140756,0.215827,6.77143,0.291531
"194",3.32769,0.479477,-0.120599,0.0693582,0.181237,6.35955,0.281255
"195",3.25034,0.570783,-0.0848238,0.0526787,-0.121651,6.88725,0.284261
"196",3.20302,0.70302,-0.0390837,0.0345609,-0.27658,6.53633,0.283303
"197",3.23684,0.622493,-0.0968899,-0.0314182,-0.260115,6.73118,0.279075
"198",3.28314,0.469827,-0.100314,0.0868256,-0.118756,7.01776,0.288937
"199",3.23851,0.580178,-0.0411893,0.053827,-0.321338,6.78168,0.292391
"200",3.23451,0.546731,-0.0809892,0.0831032,0.0141396,6.91968,0.280349
"201",3.25437,0.57509,-0.0913122,0.0975131,0.000401332,6.26342,0.292418
"202",3.27136,0.515356,-0.0532486,0.0289323,-0.00740305,6.75104,0.289668
"203",3.3242,0.437643,-0.0824858,0.0784816,-0.166067,7.02526,0.268469
"204",3.14823,0.741243,-0.0836011,0.163491,-0.136942,6.5135,0.300391
"205",3.28371,0.469173,-0.141169,-0.0270048,-0.178877,6.69469,0.27726
"206",3.19381,0.610022,-0.0163747,0.0092122,-0.12434,6.85478,0.275276
"207",3.22272,0.53261,-0.107423,0.12973,-0.116178,6.80451,0.28516
"208",3.3671,0.425198,-0.0736631,0.0654391,-0.120825,6.93807,0.289814
"209",3.23031,0.533515,-0.0736958,0.0928411,-0.104557,6.48226,0.274197
"210",3.16579,0.557825,-0.120786,0.119768,0.163245,6.86052,0.272367
"211",3.25278,0.476543,-6.9055e-05,0.0488446,0.168426,6.5933,0.259861
"212",3.22746,0.578201,-0.064587,0.108723,-0.00767741,6.78082,0.279775
"213",3.36056,0.394319,-0.135593,0.0183606,-0.290091,6.2856,0.273635
"214",3.26506,0.494136,-0.041866,0.0957238,-0.0677149,6.66313,0.280828
"215",3.23793,0.512813,-0.117883,0.0844943,0.0462913,6.48294,0.274955
"216",3.19795,0.583456,-0.074893,0.0554866,-0.0842178,6.87374,0.276407
"217",3.34246,0.444598,-0.0645645,0.0124718,-0.0576833,6.80096,0.262402
"218",3.24973,0.501555,-0.0823778,0.0388752,-0.196382,6.47908,0.276428
"219",3.22369,0.576474,-0.136959,0.114719,-0.0528008,6.4235,0.271581
"220",3.21054,0.546306,-0.0417525,0.0391635,0.118114,6.49715,0.298044
"221",3.31797,0.483801,-0.0618351,0.027537,-0.11653,6.75692,0.26506
"222",3.16915,0.653478,-0.145447,0.100977,-0.0142514,6.95751,0.281657
"223",3.19094,0.665816,-0.0839302,0.0414522,-0.149449,6.67251,0.28361
"224",3.25113,0.513938,-0.0645668,0.0690485,-0.111229,7.02496,0.256766
"225",3.24327,0.572693,-0.0442659,0.0842635,-0.132529,6.76632,0.27503
"226",3.29776,0.511711,-0.120804,0.0313961,0.176464,6.51198,0.271196
"227",3.24378,0.558883,-0.0432083,0.065663,-0.109723,6.60195,0.290585
"228",3.29495,0.473024,-0.0781219,0.0202741,-0.306001,6.58585,0.278392
"229",3.1833,0.550467,-0.0413005,0.034056,-0.0420601,6.47662,0.299655
"230",3.3069,0.467642,-0.0939966,0.0763812,-0.153294,6.73723,0.286811
"231",3.35444,0.446234,-0.11797,0.0433594,-0.165035,6.41163,0.270356
"232",3.35097,0.590176,-0.160094,-0.0414474,-0.390964,6.77439,0.292662
"233",3.1925,0.541578,-0.00859684,0.0587333,-0.013147,7.07035,0.295936
"234",3.36481,0.469739,-0.0849244,0.00789613,-0.292806,7.00376,0.284372
"235",3.33119,0.389995,-0.0790258,0.0568635,-0.016175,6.24209,0.291023
"236",3.36206,0.399209,-0.0258162,0.0311864,-0.225931,6.60383,0.278082
"237",3.25198,0.481843,-0.0673511,0.0573005,-0.114279,6.74477,0.282059
"238",3.20207,0.644337,-0.0989528,0.0688621,-0.140336,6.89022,0.271296
"239",3.23427,0.554593,-0.0529571,0.0155962,-0.380559,6.62427,0.259052
"240",3.35619,0.454154,-0.110067,0.0287091,-0.087998,6.80064,0.299219
"241",3.28414,0.528787,-0.109567,0.0992079,-0.054709,6.78178,0.306429
"242",3.28967,0.533865,-0.12121,0.081242,-0.0256333,6.46835,0.280877
"243",3.22644,0.595407,-0.0866416,0.0315034,-0.0724229,6.69786,0.270941
"244",3.24874,0.536613,-0.0534898,0.0941895,-0.223389,6.69834,0.268714
"245",3.20238,0.545182,-0.0676997,0.100655,0.0323404,6.79705,0.272032
"246",3.31642,0.503757,-0.134151,0.0538799,-0.232463,6.68816,0.280894
"247",3.31078,0.572446,-0.0943237,0.101671,0.0293295,6.60022,0.289323
"248",3.30369,0.50569,-0.114361,0.100065,-0.0606755,6.43717,0.268684
"249",3.27489,0.523812,-0.0875706,0.0851939,-0.00240336,6.72978,0.284379
"250",3.28989,0.60436,-0.172812,0.0879674,-0.149067,6.78396,0.29886
"251",3.22691,0.573369,-0.0743341,0.10604,-0.0918236,7.22682,0.284589
"252",3.33812,0.460563,-0.0395232,-0.00349522,-0.28839,6.43634,0.280714
"253",3.19647,0.575286,-0.0260311,0.0623949,0.0590499,6.58446,0.270363
"254",3.30588,0.530266,-0.073968,0.106634,-0.0618661,6.67256,0.272776
"255",3.30449,0.591807,-0.0853591,0.0334848,-0.327737,6.60803,0.28944
"256",3.1248,0.661455,-0.107854,0.133469,0.0145258,7.01424,0.288576
"257",3.31484,0.498564,-0.0476314,-0.0348877,-0.235755,6.60355,0.270615
"258",3.33763,0.529511,-0.131345,0.0889871,-0.0122827,6.56953,0.271195
"259",3.17306,0.63416,-0.0842997,0.018126,-0.0845283,6.91339,0.274007
"260",3.28373,0.541684,-0.0374196,-0.0180662,-0.239385,6.54905,0.257784
"261",3.29402,0.539998,-0.101471,0.0470506,-0.191937,7.09356,0.282656
"262",3.24784,0.486647,-0.086424,0.0382009,-0.139152,6.58006,0.27645
"263",3.23702,0.6021,-0.00361785,0.160314,0.0102759,6.73319,0.276952
"264",3.20513,0.58535,-0.0499194,0.102717,-0.0717579,6.61336,0.287906
"265",3.30268,0.576993,-0.0640154,0.00431315,-0.503646,6.60537,0.28013
"266",3.22353,0.615692,-0.0655937,0.0521598,-0.205084,6.60586,0.282018
"267",3.22905,0.475381,-0.0765849,0.0706633,-0.0341742,6.69644,0.273573
"268",3.27054,0.395828,-0.080443,0.0027735,-0.137332,6.68841,0.274124
"269",3.23741,0.617933,-0.171846,0.0802711,-0.192486,6.87507,0.283309
"270",3.24595,0.554627,-0.102937,0.0533476,0.125648,6.47863,0.27252
"271",3.20509,0.493898,-0.0752896,0.0480017,-0.0183375,6.60815,0.280606
"272",3.21401,0.535364,-0.0506068,0.0659411,0.0208137,6.72356,0.286733
"273",3.29412,0.42286,-0.0240121,0.0751609,0.0821702,6.69008,0.287343
"274",3.36226,0.425474,-0.0252575,0.0225716,-0.17888,7.02834,0.291498
"275",3.22151,0.605239,-0.123374,0.0193587,0.0661829,6.83505,0.293415
"276",3.2716,0.533534,-0.102105,0.0644645,-0.1685,6.88107,0.271324
"277",3.22161,0.58724,-0.0743509,0.141847,-0.0777554,6.55378,0.273148
"278",3.31937,0.496724,-0.00552228,0.0615964,-0.0518986,7.15946,0.278636
"279",3.19558,0.593684,-0.0932187,0.103132,-0.0553989,6.93466,0.281311
"280",3.32078,0.487255,-0.0688498,0.011206,0.178701,6.7126,0.288818
"281",3.2544,0.570122,-0.0796971,0.0293142,-0.11217,6.82975,0.287537
"282",3.34177,0.385525,-0.0956764,0.0423367,-0.0696848,6.69426,0.277275
"283",3.19141,0.578974,-0.0529456,0.0506046,-0.0198979,6.7469,0.286319
"284",3.38412,0.459604,-0.130065,-0.00179447,-0.270642,6.72169,0.285642
