"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"143",3.32998,-0.0495329,-0.0125783,0.300473,0.0273242,0.161711,0.127833
"144",3.30099,-0.0258832,0.0268439,0.273899,0.0405632,0.20738,0.122468
"145",3.30664,0.0271083,0.0384598,0.258763,0.0748923,0.238267,0.130385
"146",3.26525,-0.0276434,-0.0335984,0.294824,0.0128899,0.302441,0.131665
"147",3.4108,-0.10079,0.0225596,0.324286,0.0666014,0.159285,0.131047
"148",3.27592,-0.0607812,0.0430856,0.311423,0.0842071,0.23361,0.131879
"149",3.2816,-0.0330063,0.00506163,0.316532,0.0732993,0.278735,0.128625
"150",3.32131,0.0425816,0.0400318,0.265608,0.0566586,0.176146,0.133653
"151",3.3758,-0.0528906,-0.008173,0.243344,0.0389899,0.123351,0.125629
"152",3.26582,0.0263923,-0.0109835,0.314451,0.087516,0.26183,0.130842
"153",3.32972,-0.0225961,0.0814153,0.2062,0.0654438,0.19145,0.128243
"154",3.19177,-0.0211474,0.00843229,0.382917,0.114797,0.347541,0.131422
"155",3.25949,0.0637599,-0.0164892,0.333298,0.0925085,0.2722,0.128138
"156",3.31054,-0.0554061,-0.00640399,0.348021,0.0654499,0.229227,0.130218
"157",3.24529,0.0578466,0.0854643,0.227489,0.0758439,0.236469,0.128428
"158",3.30241,-0.0208961,0.0350094,0.288842,0.0538442,0.27717,0.130454
"159",3.23539,-0.0145729,0.0644904,0.250175,0.0299895,0.25633,0.128073
"160",3.22156,0.0113473,-0.00836679,0.341092,0.08391,0.312642,0.128869
"161",3.37329,-0.0131262,-0.0247854,0.305825,0.0861709,0.160741,0.126934
"162",3.27954,-0.0406451,0.0460729,0.286377,0.0788817,0.233809,0.133795
"163",3.25186,-0.00626085,-0.00580626,0.382276,0.0649711,0.205784,0.131772
"164",3.3398,-0.033806,0.00554361,0.320424,0.0894446,0.171023,0.126228
"165",3.29216,-0.0711006,0.0208231,0.357809,0.082525,0.304337,0.133661
"166",3.27251,-0.0205332,0.0149263,0.327282,0.0816,0.275564,0.126154
"167",3.38692,-0.0109444,0.0225454,0.309505,0.0569413,0.120505,0.128688
"168",3.38715,-0.0794031,-0.0121917,0.298937,0.057312,0.147239,0.132461
"169",3.28382,0.0168196,0.0201167,0.24442,0.0908737,0.24224,0.128676
"170",3.3406,0.0191999,-0.0298381,0.312288,0.0842077,0.170925,0.131735
"171",3.29111,0.00301273,0.0262946,0.298876,0.0747271,0.257785,0.126857
"172",3.2014,-0.0188602,0.0580178,0.264606,0.055814,0.312242,0.134506
"173",3.3362,0.0556056,0.00130589,0.305249,0.0519404,0.143891,0.128709
"174",3.34675,0.011955,-0.0287591,0.324141,0.0954308,0.210661,0.128037
"175",3.25102,0.0538641,0.0583371,0.212239,0.0755548,0.267224,0.125058
"176",3.26887,-0.0585051,0.0175124,0.296868,0.0559971,0.256557,0.125724
"177",3.3226,0.00965398,0.0300389,0.313835,0.0746631,0.240489,0.127018
"178",3.33047,-0.0331746,0.0255644,0.284384,0.0629263,0.187032,0.131297
"179",3.31601,-0.0710292,0.0106858,0.34151,0.0360234,0.24179,0.134816
"180",3.31575,-0.0665124,0.0041853,0.339485,0.106382,0.24112,0.135472
"181",3.32518,-0.0117578,-0.0123609,0.33012,0.0751047,0.226998,0.129424
"182",3.35622,-0.104028,-0.00442012,0.31664,0.0639449,0.207531,0.130717
"183",3.23986,0.0146024,0.00479487,0.33258,0.128042,0.320466,0.132186
"184",3.197,0.00905228,0.0788908,0.217517,0.063595,0.308807,0.125236
"185",3.27672,-0.0227126,-0.00861657,0.345135,0.0894,0.298504,0.127488
"186",3.24113,0.0273358,-0.00472983,0.313944,0.117124,0.310564,0.127856
"187",3.22428,0.0399519,0.0437646,0.260234,0.0231957,0.259241,0.12558
"188",3.32695,-0.0266227,0.0277492,0.266684,0.0606993,0.198885,0.133819
"189",3.32863,0.00809545,-0.0273983,0.352915,0.0568979,0.180525,0.129965
"190",3.35038,0.0289192,0.0151873,0.316903,0.0919683,0.140197,0.131829
"191",3.3225,-0.0677859,-0.0317077,0.320336,0.0868006,0.205817,0.1287
"192",3.24945,-0.0584696,0.0494137,0.3053,0.0835429,0.319486,0.128252
"193",3.19477,0.0470076,0.063831,0.291773,0.0952338,0.332373,0.132202
"194",3.37254,0.0771963,0.0312619,0.273787,0.0579141,0.117142,0.135153
"195",3.28694,0.0338536,0.034435,0.297717,0.0822502,0.219048,0.130545
"196",3.27295,0.0105639,0.0208164,0.398096,0.0973283,0.265086,0.127075
"197",3.22157,0.00949303,0.0490864,0.29082,0.0523374,0.353525,0.131891
"198",3.27873,0.0396193,0.00643831,0.33518,0.0596574,0.23707,0.135313
"199",3.24138,0.0185143,-0.000211212,0.309631,0.0887721,0.309812,0.133849
"200",3.21035,0.0062553,-0.0124316,0.392816,0.0909655,0.324078,0.131028
"201",3.2814,0.0339492,0.0316551,0.287731,0.0724136,0.19956,0.128087
"202",3.22274,-0.0232455,0.0395637,0.251382,0.0473862,0.289276,0.129022
"203",3.28645,-0.0068501,0.0229405,0.304646,0.0528431,0.222847,0.130725
"204",3.38417,-0.020168,-0.00976299,0.286119,0.0562011,0.118617,0.12741
"205",3.27803,0.065864,0.0474802,0.228084,0.0869869,0.237964,0.126907
"206",3.33557,0.0534677,-0.0469315,0.325417,0.0777168,0.188388,0.131068
"207",3.31644,-0.0215909,0.0103529,0.334753,0.0785541,0.218153,0.131946
"208",3.36787,0.0269918,0.0225876,0.288036,0.0286047,0.145029,0.128263
"209",3.31933,-0.0435169,0.0870846,0.200944,0.0857371,0.231237,0.135247
"210",3.17449,8.98062e-05,0.0634878,0.283529,0.130181,0.357556,0.133904
"211",3.20075,0.0106038,0.00904976,0.306336,0.0809281,0.300198,0.129134
"212",3.20461,0.0249588,0.0290282,0.366718,0.0581125,0.328813,0.131
"213",3.33327,-0.067469,0.0307376,0.309104,0.0315394,0.201564,0.128855
"214",3.32788,0.0299337,0.0356181,0.248724,0.0759698,0.20408,0.129032
