,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
loglik[1121],-5.387540633,-5.384675,-5.409523,-5.38203,1.006945822,910,1,0
loglik[1130],-4.42256946,-4.41931,-4.59655125,-4.26455675,1.014322932,140,1,0
loglik[1132],-5.405669107,-5.39397,-5.491271,-5.38204,1.015259042,260,1,0
loglik[1135],-4.41965108,-4.42366,-4.86622225,-3.9762765,1.076935017,30,1,0
loglik[1144],-4.054942647,-4.05362,-4.2174815,-3.90114425,1.004734705,430,1,0
loglik[1150],-4.074388253,-4.071785,-4.2645765,-3.89697975,1.00498093,630,1,0
loglik[1152],-4.1188255,-4.1155,-4.34458225,-3.90287,1.004213499,940,1,0
loglik[1154],-4.053727247,-4.05244,-4.2160365,-3.89900375,1.004687678,430,1,0
loglik[1157],-4.067628187,-4.06428,-4.277951,-3.868478,1.004599008,790,1,0
loglik[1159],-4.059804053,-4.056995,-4.22778675,-3.90380025,1.004917696,460,1,0
loglik[1161],-4.069526747,-4.0672,-4.25285,-3.90156325,1.005068031,560,1,0
loglik[1163],-4.771431133,-4.76644,-4.855338,-4.71205175,1.004437822,940,1,0
loglik[1164],-4.069526747,-4.0672,-4.25285,-3.90156325,1.005068031,560,1,0
loglik[1166],-4.76690698,-4.76286,-4.83969125,-4.71501125,1.004911954,690,1,0
loglik[1167],-4.059804053,-4.056995,-4.22778675,-3.90380025,1.004917696,460,1,0
loglik[1170],-4.074388253,-4.071785,-4.2645765,-3.89697975,1.00498093,630,1,0
loglik[1171],-4.078034367,-4.075295,-4.2775475,-3.89312775,1.004847604,700,1,0
loglik[1172],-5.444238307,-5.43727,-5.5402995,-5.3866265,1.005559047,590,1,0
loglik[1175],-4.770910573,-4.766105,-4.853435,-4.7123395,1.004512798,910,1,0
loglik[1177],-4.059804053,-4.056995,-4.22778675,-3.90380025,1.004917696,460,1,0
loglik[1180],-4.053727247,-4.05244,-4.2160365,-3.89900375,1.004687678,430,1,0
loglik[1186],-10.14686034,-10.13215,-11.1120825,-9.26489925,1.005242746,580,1,0
loglik[1196],-4.049397947,-4.046385,-4.226873,-3.884168,1.00504249,510,1,0
loglik[1197],-9.63915414,-9.630845,-10.461525,-8.87429025,1.00537197,500,1,0
loglik[1202],-5.458734967,-5.452825,-5.55265825,-5.3983185,1.006070805,390,1,0
loglik[1203],-8.98564432,-8.97378,-9.634213,-8.39168975,1.005189767,410,1,0
loglik[1206],-4.098164387,-4.095815,-4.28083875,-3.93053125,1.005072262,550,1,0
loglik[1212],-6.09975894,-6.09481,-6.28738125,-5.9420845,1.005628875,480,1,0
loglik[1214],-4.770910573,-4.766105,-4.853435,-4.7123395,1.004512798,910,1,0
loglik[1216],-4.067096093,-4.064025,-4.24868825,-3.9000455,1.005069198,530,1,0
loglik[1218],-5.440599233,-5.435075,-5.5220595,-5.38878475,1.006079766,500,1,0
loglik[1221],-4.736245667,-4.73132,-4.80663825,-4.69364425,1.002432628,820,1,0
loglik[1222],-4.03185098,-4.03084,-4.20565175,-3.8602285,1.004540735,440,1,0
loglik[1224],-6.151731767,-6.14285,-6.3940715,-5.9645405,1.005185551,460,1,0
