"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"149",3.34244,0.543287,-0.0493604,-0.0500352,-0.0624145,-0.249644,0.109914
"150",3.42237,0.52948,-0.0558385,0.0285274,-0.067416,-0.0752033,0.116048
"151",3.35212,0.608082,-0.0853857,-0.0709114,-0.0678797,-0.331498,0.118676
"152",3.46535,0.447526,-0.101564,-0.122341,-0.0462074,-0.0753263,0.114071
"153",3.35568,0.506114,-0.0359357,-0.0689928,-0.0103247,-0.111754,0.11759
"154",3.39659,0.595065,-0.0429902,-0.0493702,-0.0935257,-0.246464,0.10777
"155",3.38461,0.559562,-0.0680391,-0.0400688,-0.0849819,-0.121111,0.113546
"156",3.27508,0.663401,-0.045158,-0.0675821,-0.144489,-0.0315448,0.113028
"157",3.33384,0.640182,0.0355294,-0.170577,-0.165598,-0.288795,0.111315
"158",3.40604,0.633773,-0.0159395,-0.0505819,-0.124009,-0.0311549,0.105618
"159",3.31124,0.598532,-0.0455168,-0.162907,-0.0372732,0.0052021,0.110745
"160",3.37282,0.509526,0.0643847,-0.388229,-0.109236,0.0202187,0.117539
"161",3.31644,0.577779,0.024311,-0.0743329,-0.0693909,-0.226716,0.106658
"162",3.40472,0.515916,-0.0536151,-0.0941689,-0.0526402,-0.271386,0.115009
"163",3.35358,0.539292,-0.0550454,0.00642218,-0.0499352,-0.18537,0.113627
"164",3.24728,0.584262,-0.00781555,-0.0169506,0.0199354,0.0609875,0.111281
"165",3.35027,0.465771,-0.0428053,-0.0687886,-0.0466807,-0.134455,0.110233
"166",3.33841,0.580017,-0.0183498,-0.0677982,-0.0511398,-0.26512,0.111065
"167",3.30316,0.59077,-0.0627703,-0.0810983,-0.0940117,-0.149461,0.104957
"168",3.31931,0.595733,-0.091939,-0.0407957,-0.0699863,0.0206725,0.116007
"169",3.43293,0.514324,-0.0774518,-0.057869,-0.03702,-0.140875,0.111287
"170",3.41256,0.577963,0.0197111,-0.0604701,-0.0500105,-0.152632,0.110151
"171",3.33771,0.635039,-0.059733,-0.0454314,-0.11465,-0.262697,0.114732
"172",3.36004,0.662109,-0.0314636,-0.18403,-0.0728908,-0.251627,0.11275
"173",3.45734,0.430913,0.063211,-0.224944,-0.12362,-0.230721,0.107331
"174",3.41508,0.520769,-0.091227,-0.100332,-0.0535735,-0.180714,0.107485
"175",3.2755,0.624111,-0.05141,-0.122904,-0.0415204,0.0449473,0.108055
"176",3.36978,0.465544,-0.0758441,-0.126992,-0.00562399,0.013686,0.10774
"177",3.39714,0.634797,-0.0117547,-0.129692,-0.101385,-0.0980711,0.112429
"178",3.35197,0.571008,0.0107858,-0.206897,-0.0977458,-0.326085,0.112466
"179",3.33306,0.568348,0.0257775,-0.193598,-0.0223176,-0.22595,0.111692
"180",3.36468,0.641776,0.055721,-0.259538,-0.0954628,-0.281649,0.114254
"181",3.36489,0.637395,-0.051914,0.0309428,0.00181941,0.00827144,0.107763
"182",3.3234,0.579199,-0.0215329,-0.0775265,-0.0493253,0.0270575,0.113201
"183",3.37312,0.480694,-0.0807832,-0.0221414,-0.102763,-0.0485973,0.104237
"184",3.3639,0.532648,-0.0149949,-0.0209468,-0.0792762,-0.0571892,0.103868
"185",3.30273,0.60625,-0.000893377,-0.0852912,-0.107986,-0.252572,0.1179
"186",3.37331,0.559756,-0.030024,-0.112958,-0.0638051,-0.134592,0.107706
"187",3.3925,0.509506,-0.04334,-0.155408,-0.0310098,-0.00252338,0.110407
"188",3.34559,0.582433,-0.0281307,-0.129486,-0.046843,-0.0337183,0.113873
