"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"742",3.85043,0.243522,0.343034,-0.0532652,0.23206,-0.625016,0.127142
"743",3.84149,0.256899,0.444758,-0.175875,0.218868,-0.583491,0.128758
"744",3.88661,0.428432,0.376992,-0.0692562,0.262376,-0.712424,0.133177
"745",3.90948,0.257468,0.341637,-0.0726015,0.232089,-0.774973,0.127571
"746",3.67892,0.333514,0.442528,-0.334517,0.19257,-0.494954,0.130719
"747",3.72396,0.326889,0.363391,-0.159031,0.201947,-0.528455,0.120836
"748",3.83379,0.224958,0.321932,-0.0604746,0.21206,-0.557162,0.129565
"749",3.72925,0.43966,0.333188,-0.132794,0.215083,-0.550962,0.125334
"750",3.96919,0.269239,0.455247,-0.187249,0.164376,-0.747742,0.130139
"751",3.99013,0.220359,0.288169,0.0679423,0.186895,-0.770191,0.123314
"752",3.8274,0.334162,0.434073,-0.154958,0.216633,-0.66477,0.124421
"753",3.93612,0.344664,0.37277,-0.185255,0.228057,-0.797493,0.127049
"754",3.89641,0.313831,0.346837,-0.133809,0.211419,-0.596484,0.123851
"755",3.92326,0.319924,0.469769,-0.157978,0.209443,-0.705327,0.119033
"756",4.02772,0.26284,0.439013,-0.188509,0.193034,-0.870767,0.123857
"757",3.72786,0.412398,0.318982,0.0354927,0.274759,-0.493858,0.125509
"758",3.70735,0.318357,0.327501,-0.0531333,0.229044,-0.460246,0.127655
"759",3.99761,0.326985,0.291532,0.0081753,0.292345,-0.705329,0.120345
"760",3.87033,0.351887,0.370514,0.00135073,0.233339,-0.715492,0.123777
"761",3.81505,0.450037,0.345417,-0.0276237,0.210878,-0.671695,0.123989
"762",3.92933,0.246097,0.341328,-0.0604542,0.208836,-0.69425,0.131626
"763",3.88299,0.363336,0.428443,-0.0248446,0.25168,-0.711116,0.121264
"764",3.86265,0.475581,0.350082,-0.0381908,0.201294,-0.624352,0.123003
"765",3.84521,0.377408,0.410382,-0.118768,0.215173,-0.640954,0.12407
"766",3.83224,0.359929,0.315079,-0.0166192,0.266144,-0.586698,0.128016
"767",3.83659,0.370512,0.32432,-0.0104712,0.284196,-0.651338,0.128513
"768",3.84237,0.408046,0.38041,-0.0901119,0.296,-0.764267,0.122542
"769",3.76929,0.302875,0.332335,-0.0787996,0.265366,-0.537114,0.127892
"770",3.85144,0.329258,0.418009,-0.148366,0.20871,-0.606978,0.122693
"771",3.86949,0.377356,0.308841,-0.074225,0.237614,-0.688071,0.130018
"772",3.90378,0.322619,0.353055,-0.153326,0.250794,-0.634713,0.126618
"773",3.76561,0.400732,0.350799,0.0467717,0.230901,-0.534077,0.126591
"774",3.71506,0.293497,0.396207,-0.0820825,0.217491,-0.495609,0.125123
"775",3.81996,0.298663,0.468641,-0.17664,0.212795,-0.662291,0.130347
"776",3.85406,0.239656,0.349361,-0.234403,0.235045,-0.610278,0.115684
"777",3.80119,0.500648,0.284175,0.162642,0.282822,-0.586884,0.127425
"778",3.72865,0.423959,0.417956,-0.159296,0.202735,-0.517677,0.134091
"779",3.83266,0.175363,0.336605,-0.124993,0.162096,-0.581677,0.123851
"780",3.86645,0.510832,0.382685,-0.0522516,0.259581,-0.690325,0.128948
"781",3.90689,0.288245,0.419329,-0.163118,0.20511,-0.633311,0.131839
"782",3.77598,0.414259,0.303857,-0.068205,0.198722,-0.643508,0.130939
"783",3.824,0.288745,0.351722,-0.122413,0.219362,-0.65012,0.124128
"784",3.98999,0.194015,0.416094,-0.0559758,0.199825,-0.86504,0.129243
"785",3.8756,0.213124,0.271027,0.0398677,0.250169,-0.667962,0.127824
"786",3.79581,0.38924,0.404648,-0.188002,0.217493,-0.596969,0.122779
"787",3.93299,0.391162,0.356571,0.0017329,0.253222,-0.707,0.115287
"788",3.75235,0.425466,0.359037,-0.116138,0.194265,-0.62124,0.126701
"789",3.84917,0.365899,0.30073,-0.0513053,0.254916,-0.663549,0.130538
"790",3.82639,0.353316,0.414014,-0.208291,0.222923,-0.620114,0.133122
"791",3.74382,0.249548,0.330872,-0.0678376,0.215145,-0.446018,0.126898
"792",3.79567,0.383488,0.435985,-0.153912,0.174169,-0.621614,0.125046
"793",3.84928,0.328756,0.3852,-0.106088,0.248796,-0.694188,0.125848
"794",3.89773,0.178361,0.372848,-0.0712081,0.25715,-0.720984,0.124658
"795",3.73327,0.366277,0.450159,-0.152292,0.187154,-0.537143,0.124909
"796",3.76079,0.503401,0.364177,-0.052707,0.216226,-0.595693,0.132594
"797",3.86317,0.308862,0.413147,-0.115084,0.162044,-0.654542,0.125849
"798",3.73658,0.39553,0.315567,-0.0312274,0.232875,-0.496394,0.131858
"799",3.63478,0.353279,0.371268,-0.048289,0.228652,-0.493205,0.127011
"800",3.95045,0.251291,0.291272,0.138692,0.193181,-0.696725,0.131061
"801",3.87258,0.215966,0.411862,-0.167899,0.160124,-0.625618,0.12643
"802",3.65017,0.42127,0.313837,-0.0800705,0.231268,-0.557815,0.130599
"803",4.03933,0.280042,0.381183,-0.177937,0.190518,-0.779946,0.121549
"804",4.03641,0.247256,0.386082,0.0345523,0.213751,-0.833486,0.131684
"805",3.96692,0.362969,0.361622,-0.0252332,0.184001,-0.717292,0.131828
"806",3.82745,0.412396,0.392816,-0.119966,0.239011,-0.683511,0.127022
"807",3.84601,0.337141,0.385793,0.0107597,0.227547,-0.707779,0.128156
"808",3.84449,0.276571,0.343648,-0.132661,0.243929,-0.639705,0.131327
"809",3.71375,0.258551,0.387232,-0.0515411,0.220991,-0.541053,0.128937
"810",3.7841,0.330655,0.442625,-0.130073,0.201627,-0.553503,0.131338
"811",4.06522,0.0514656,0.425788,-0.154407,0.258064,-0.779378,0.117784
"812",3.83352,0.347172,0.249371,0.0107043,0.24939,-0.584279,0.122308
"813",3.96363,0.323609,0.424214,-0.0428593,0.253367,-0.700317,0.119863
"814",3.88189,0.30899,0.40721,-0.112163,0.202897,-0.702609,0.127342
