,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
loglik[5814],-5.457228893,-5.452415,-5.532131,-5.40613325,1.039363837,68,1,0
loglik[5825],-4.069150513,-4.070295,-4.23626775,-3.895334,1.011701715,210,1,0
loglik[5830],-3.867538053,-3.87423,-4.0319575,-3.6900055,1.05065864,48,1,0
loglik[5833],-3.978642867,-3.980705,-4.126151,-3.825818,1.028431598,88,1,0
loglik[5834],-3.882688733,-3.88721,-4.03928075,-3.719383,1.051306703,48,1,0
loglik[5838],-3.928140547,-3.92934,-4.07306875,-3.7798685,1.046388419,54,1,0
loglik[5842],-3.89278912,-3.89757,-4.04428825,-3.73846475,1.051221338,49,1,0
loglik[5852],-9.914043087,-9.88901,-10.792905,-9.20174525,1.016385909,160,1,0
loglik[5854],-13.63811973,-13.5326,-15.64316,-12.07284,1.041701494,55,1,0
loglik[5857],-3.933190973,-3.9347,-4.07715225,-3.78589075,1.045062339,56,1,0
loglik[5859],-4.73160212,-4.7301,-4.77392775,-4.6999475,1.042389205,59,1,0
loglik[5866],-3.948341713,-3.950415,-4.0917175,-3.801433,1.040240868,63,1,0
loglik[5869],-4.00005344,-4.00399,-4.14843725,-3.84614725,1.050614478,49,1,0
loglik[5875],-4.003497513,-4.00526,-4.1475505,-3.8568045,1.034507748,73,1,0
loglik[5876],-6.155409,-6.147565,-6.335818,-6.0108195,1.034794536,76,1,0
loglik[5878],-4.01671278,-4.01822,-4.16069425,-3.87011125,1.043586865,58,1,0
loglik[5880],-4.757603153,-4.755855,-4.81087725,-4.71359625,1.020405517,110,1,0
loglik[5883],-4.0470139,-4.04856,-4.19222425,-3.89833225,1.032491102,77,1,0
loglik[5884],-4.747468433,-4.746165,-4.795413,-4.70941175,1.041890596,60,1,0
loglik[5888],-3.984902673,-3.988995,-4.13938975,-3.82606025,1.051322978,48,1,0
loglik[5890],-4.734925787,-4.733695,-4.7800005,-4.70062225,1.058275085,46,1,0
loglik[5894],-4.756927353,-4.75561,-4.80931375,-4.71426475,1.028297031,84,1,0
loglik[5895],-4.761971,-4.76044,-4.81624575,-4.716728,1.022224113,100,1,0
loglik[5898],-4.756927353,-4.75561,-4.80931375,-4.71426475,1.028297031,84,1,0
loglik[5904],-4.718454687,-4.71621,-4.763783,-4.68990475,1.065074696,43,1,0
loglik[5906],-4.73365934,-4.73243,-4.77851175,-4.6998,1.059417897,45,1,0
loglik[5913],-4.745975667,-4.74434,-4.7933945,-4.70867,1.044123907,57,1,0
loglik[5916],-3.907939873,-3.911445,-4.0535765,-3.75618475,1.050090688,50,1,0
loglik[5917],-12.7722222,-12.73785,-14.0118,-11.6995275,1.04493974,56,1,0
loglik[5919],-3.897839447,-3.902095,-4.04721075,-3.7432195,1.050988296,49,1,0
loglik[5923],-4.710194587,-4.70815,-4.74456125,-4.6896685,1.067281217,43,1,0
loglik[5927],-4.72193386,-4.720285,-4.76013775,-4.69498325,1.042911777,59,1,0
loglik[5934],-3.877638533,-3.88286,-4.03756225,-3.70985475,1.051181743,48,1,0
loglik[5937],-4.73057806,-4.72881,-4.774203,-4.698378,1.026377802,89,1,0
loglik[5938],-3.963492213,-3.96526,-4.1075505,-3.8167945,1.034508425,73,1,0
loglik[5939],-4.71459546,-4.71274,-4.749325,-4.69148425,1.059031156,47,1,0
loglik[5941],-3.907939873,-3.911445,-4.0535765,-3.75618475,1.050090688,50,1,0
loglik[5943],-3.9277442,-3.93184,-4.082235,-3.76890025,1.051323009,48,1,0
loglik[5947],-8.209270353,-8.19218,-8.704671,-7.7867285,1.034644999,75,1,0
loglik[5950],-4.73365934,-4.73243,-4.77851175,-4.6998,1.059417897,45,1,0
loglik[5953],-4.028748727,-4.03055,-4.17768825,-3.874152,1.02447282,100,1,0
loglik[5959],-3.988346767,-3.99042,-4.13172275,-3.841443,1.040241773,63,1,0
loglik[5961],-16.56306113,-16.5043,-18.37543,-14.988625,1.039781101,64,1,0
loglik[5962],-3.907939873,-3.911445,-4.0535765,-3.75618475,1.050090688,50,1,0
loglik[5964],-4.748985753,-4.747775,-4.7976725,-4.71045325,1.039610429,63,1,0
loglik[5966],-4.727979027,-4.72616,-4.76981825,-4.69742375,1.030784725,78,1,0
loglik[5967],-4.739194153,-4.73762,-4.784565,-4.70435425,1.046506774,55,1,0
loglik[5969],-4.015203993,-4.01665,-4.15992125,-3.866946,1.048565854,52,1,0
loglik[5970],-3.93279458,-3.93757,-4.0842935,-3.77846475,1.051221366,49,1,0
loglik[5973],-4.755939353,-4.754345,-4.80842575,-4.71279325,1.022236254,100,1,0
loglik[5975],-4.719951313,-4.7184,-4.758655,-4.69319,1.061855527,45,1,0
loglik[5977],-4.060656007,-4.06242,-4.2047105,-3.91395925,1.034508301,73,1,0
loglik[5978],-3.97126058,-3.97604,-4.12275825,-3.81693475,1.051221041,49,1,0
loglik[5979],-4.00510344,-4.008605,-4.15074125,-3.85335,1.050089753,50,1,0
loglik[5981],-3.993793527,-3.99546,-4.14269675,-3.837371,1.02257369,110,1,0
loglik[5982],-4.756927353,-4.75561,-4.80931375,-4.71426475,1.028297031,84,1,0
loglik[5985],-4.035404827,-4.036915,-4.1793895,-3.88880125,1.043586037,58,1,0
loglik[5987],-14.50985347,-14.40135,-16.568175,-12.867,1.043113967,54,1,0
loglik[5991],-4.00661226,-4.007815,-4.151544,-3.8583385,1.04638943,54,1,0
loglik[5992],-3.948341713,-3.950415,-4.0917175,-3.801433,1.040240868,63,1,0
loglik[5993],-4.727735487,-4.726435,-4.77075325,-4.69674,1.061166777,45,1,0
loglik[5994],-4.050555493,-4.052905,-4.19461125,-3.9040505,1.038405127,66,1,0
loglik[5998],-3.9277442,-3.93184,-4.082235,-3.76890025,1.051323009,48,1,0
loglik[6005],-4.728904007,-4.72757,-4.77178125,-4.69732,1.060100024,45,1,0
loglik[6006],-12.66652064,-12.4948,-16.40311,-10.0061,1.002156866,930,1,0
loglik[6011],-12.93486513,-12.87935,-14.2338425,-11.83059,1.047632117,52,1,0
loglik[6012],-3.978246387,-3.97976,-4.1222295,-3.83164125,1.043586578,58,1,0
loglik[6014],-4.743063007,-4.741515,-4.78974325,-4.70657075,1.048375585,53,1,0
loglik[6017],-5.47733998,-5.47272,-5.56128525,-5.41762675,1.040506515,65,1,0
loglik[6018],-3.89278912,-3.89757,-4.04428825,-3.73846475,1.051221338,49,1,0
loglik[6021],-3.984902673,-3.988995,-4.13938975,-3.82606025,1.051322978,48,1,0
loglik[6023],-4.131359193,-4.13217,-4.30399425,-3.95437425,1.010535384,230,1,0
loglik[6026],-6.138420713,-6.13023,-6.3416265,-5.98592925,1.015338936,180,1,0
loglik[6032],-4.72193386,-4.720285,-4.76013775,-4.69498325,1.042911777,59,1,0
loglik[6034],-4.044295767,-4.04498,-4.222971,-3.860905,1.008479713,290,1,0
loglik[6037],-3.963492213,-3.96526,-4.1075505,-3.8167945,1.034508425,73,1,0
loglik[6039],-4.768058087,-4.765885,-4.83136625,-4.71656725,1.011746378,200,1,0
loglik[6044],-4.186911433,-4.18659,-4.40393425,-3.96177575,1.002911654,910,1,0
loglik[6046],-4.003497513,-4.00526,-4.1475505,-3.8568045,1.034507748,73,1,0
loglik[6048],-3.9735926,-3.97494,-4.1200995,-3.82251375,1.030458451,82,1,0
loglik[6050],-3.978246387,-3.97976,-4.1222295,-3.83164125,1.043586578,58,1,0
loglik[6051],-4.137918167,-4.138945,-4.3272495,-3.9421975,1.006027006,410,1,0
loglik[6054],-4.746445533,-4.74501,-4.79428525,-4.708789,1.035072286,70,1,0
loglik[6057],-4.80181832,-4.797715,-4.91084425,-4.7192815,1.003040712,1500,1,0
loglik[6058],-6.057792447,-6.046375,-6.270504,-5.906753,1.00525122,530,1,0
loglik[6061],-4.085907073,-4.08771,-4.234843,-3.931312,1.024472745,100,1,0
loglik[6062],-3.9735926,-3.97494,-4.1200995,-3.82251375,1.030458451,82,1,0
loglik[6063],-3.94329144,-3.944335,-4.0865625,-3.79750475,1.041974907,60,1,0
loglik[6065],-4.050555493,-4.052905,-4.19461125,-3.9040505,1.038405127,66,1,0
loglik[6067],-4.743499947,-4.74106,-4.798331,-4.7019945,1.011920846,190,1,0
loglik[6069],-4.077315473,-4.07863,-4.2270755,-3.919758,1.020746763,120,1,0
loglik[6071],-13.66705227,-13.62595,-15.0470975,-12.47083,1.046622835,53,1,0
loglik[6072],-5.479874513,-5.474975,-5.565563,-5.4188985,1.04149665,63,1,0
loglik[6073],-4.053999773,-4.054885,-4.20886475,-3.8879625,1.015788662,160,1,0
loglik[6076],-4.024094907,-4.02497,-4.1858745,-3.853069,1.012964998,190,1,0
loglik[6077],-3.988743233,-3.99054,-4.137683,-3.834152,1.024472014,100,1,0
loglik[6078],-9.0888529,-9.06752,-9.81845225,-8.5004345,1.016412799,160,1,0
loglik[6081],-4.080856893,-4.0826,-4.229649,-3.92710025,1.02642963,94,1,0
loglik[6082],-4.03691358,-4.03927,-4.1821155,-3.89033725,1.036487804,69,1,0
loglik[6086],-4.00156202,-4.002895,-4.14737775,-3.85450175,1.047558051,53,1,0
loglik[6088],-4.04196392,-4.04373,-4.1860205,-3.8952645,1.034507655,73,1,0
loglik[6093],-4.743471413,-4.742195,-4.7903625,-4.70697325,1.039720153,63,1,0
loglik[6096],-6.2559359,-6.24655,-6.464693,-6.085135,1.036466087,72,1,0
loglik[6097],-4.748985753,-4.747775,-4.7976725,-4.71045325,1.039610429,63,1,0
loglik[6103],-4.736467473,-4.73474,-4.78114775,-4.70246175,1.050670298,51,1,0
loglik[6105],-4.01671278,-4.01822,-4.16069425,-3.87011125,1.043586865,58,1,0
loglik[6113],-4.102566527,-4.10344,-4.2643445,-3.93154425,1.01296525,190,1,0
loglik[6114],-4.067214953,-4.069015,-4.216153,-3.912622,1.024471854,100,1,0
loglik[6115],-5.43145218,-5.42642,-5.5016545,-5.390349,1.01709177,200,1,0
loglik[6124],-4.080856893,-4.0826,-4.229649,-3.92710025,1.02642963,94,1,0
loglik[6127],-4.057114533,-4.05918,-4.20462625,-3.904288,1.028431399,88,1,0
loglik[6134],-4.72193386,-4.720285,-4.76013775,-4.69498325,1.042911777,59,1,0
loglik[6136],-4.7552923,-4.753765,-4.806824,-4.7135775,1.030480558,79,1,0
loglik[6138],-4.17326954,-4.173365,-4.396199,-3.94310675,1.002570192,1100,1,0
loglik[6140],-5.410165987,-5.400715,-5.49254,-5.38214,1.000874117,1500,1,0
loglik[6144],-4.763697333,-4.762005,-4.81875725,-4.71758575,1.020395995,110,1,0
loglik[6145],-3.9685424,-3.970085,-4.113749,-3.81986225,1.032491128,77,1,0
loglik[6146],-4.75209164,-4.75071,-4.80171525,-4.71241375,1.035005571,70,1,0
