,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
loglik[637],-3.894197047,-3.896035,-4.10988525,-3.67145825,1.018898771,130,1,0
loglik[643],-4.694240973,-4.69117,-4.71738675,-4.68889,1.056086247,200,1,0
loglik[648],-3.181543593,-3.179655,-3.385494,-2.98216775,1.015297555,150,1,0
loglik[651],-3.101660407,-3.09914,-3.31864575,-2.890337,1.014769602,160,1,0
loglik[653],-9.387761607,-9.36577,-10.48675,-8.44376725,1.012920915,160,1,0
loglik[654],-4.839356347,-4.83186,-4.98868925,-4.73445625,1.010987088,180,1,0
loglik[656],-3.267443473,-3.266375,-3.46216525,-3.08237,1.016030311,140,1,0
loglik[659],-3.2446196,-3.243035,-3.444107,-3.05552175,1.015860001,140,1,0
loglik[663],-6.260487487,-6.2478,-6.65735475,-5.92623125,1.013963612,150,1,0
loglik[665],-6.30628358,-6.293895,-6.7182725,-5.95636275,1.01359721,150,1,0
loglik[673],-3.073441693,-3.070535,-3.289894,-2.8602455,1.014696033,160,1,0
loglik[675],-4.879414153,-4.871685,-5.056411,-4.754096,1.01050401,190,1,0
loglik[678],-3.30167894,-3.301465,-3.4926735,-3.11811725,1.016296987,140,1,0
loglik[684],-4.1005098,-4.098595,-4.37340275,-3.8301825,1.017345688,140,1,0
loglik[686],-3.940743687,-3.943165,-4.17595775,-3.707144,1.018437975,130,1,0
loglik[692],-3.551841007,-3.55425,-3.7378775,-3.364449,1.018260339,120,1,0
loglik[696],-4.636171227,-4.631695,-4.94856525,-4.332978,1.008648332,310,1,0
loglik[698],-4.70103604,-4.69538,-4.74412925,-4.6889,1.019788955,300,1,0
loglik[699],-3.75810592,-3.761625,-4.025649,-3.481637,1.005805117,370,1,0
loglik[703],-3.8943997,-3.897235,-4.15582825,-3.62440525,1.005177884,390,1,0
loglik[705],-3.75810592,-3.761625,-4.025649,-3.481637,1.005805117,370,1,0
loglik[707],-3.701046553,-3.703215,-3.9823,-3.41569,1.006538108,350,1,0
loglik[708],-4.122637013,-4.124795,-4.37355725,-3.86799225,1.004674366,430,1,0
loglik[710],-3.66980304,-3.67329,-3.94557475,-3.388927,1.006242135,360,1,0
loglik[718],-4.19175686,-4.19174,-4.442836,-3.9384035,1.004862275,410,1,0
loglik[720],-3.71245834,-3.715335,-3.991217,-3.43033425,1.006389912,350,1,0
loglik[721],-6.5974188,-6.574235,-7.00082275,-6.3055665,1.00505254,430,1,0
loglik[722],-6.226809833,-6.20933,-6.46390575,-6.089956,1.014398354,310,1,0
