"","mean","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"loglik[1042]",-7.51982181333333,-7.513895,-7.861165,-7.2081205,1.00255426150928,780,0,1
"loglik[1045]",-4.80068789333333,-4.798855,-4.86619525,-4.74563825,1.00615833414354,420,0,1
"loglik[1049]",-4.19388626666667,-4.193855,-4.34241725,-4.0445655,1.00572672152628,440,0,1
"loglik[1051]",-4.21573092666667,-4.215395,-4.3811855,-4.05520275,1.0053127734749,460,0,1
"loglik[1061]",-6.05835344666667,-6.055915,-6.18467275,-5.96068975,1.00438578299404,470,0,1
"loglik[1064]",-4.20844923333333,-4.20765,-4.369168,-4.0520095,1.00546902692086,450,0,1
"loglik[1066]",-4.79934641333333,-4.79697,-4.869136,-4.74251925,1.00589403986462,420,0,1
"loglik[1067]",-7.78045303333333,-7.769245,-8.218651,-7.39698025,1.00504027299758,490,0,1
"loglik[1068]",-8.22376136,-8.217895,-8.671042,-7.81465325,1.00248474192655,810,0,1
"loglik[1071]",-5.41332783333333,-5.4106,-5.45720575,-5.38675875,1.00502977345753,510,0,1
"loglik[1073]",-6.11662916,-6.113245,-6.24957075,-6.00711,1.00395530077691,510,0,1
"loglik[1078]",-4.20844923333333,-4.20765,-4.369168,-4.0520095,1.00546902692086,450,0,1
"loglik[1088]",-5.40862584,-5.404975,-5.45369675,-5.38379275,1.00496034826276,560,0,1
"loglik[1089]",-4.78893228666667,-4.78733,-4.8426235,-4.742393,1.00630244792219,410,0,1
"loglik[1092]",-4.21209007333333,-4.21152,-4.37459725,-4.05400575,1.0053922403018,450,0,1
"loglik[1093]",-5.4005147,-5.395985,-5.4420025,-5.38216475,1.00459594113132,670,0,1
"loglik[1102]",-11.8968025333333,-11.86675,-13.07276,-10.8503225,1.00492989364131,490,0,1
"loglik[1106]",-5.41597454,-5.41322,-5.46025825,-5.38875225,1.00488488177951,500,0,1
"loglik[1108]",-5.41507008666667,-5.412335,-5.458695,-5.388065,1.00494893756352,500,0,1
"loglik[1110]",-4.19339802666667,-4.192825,-4.35589725,-4.03531575,1.00539231783113,450,0,1
"loglik[1111]",-4.73183407333333,-4.728165,-4.784985,-4.69720425,1.00525289146586,700,0,1
"loglik[1112]",-7.48401838,-7.477705,-7.7816965,-7.22051325,1.00343667270539,580,0,1
"loglik[1113]",-7.97086136,-7.966845,-8.3521775,-7.662222,1.00468157342832,450,0,1
"loglik[1114]",-4.75796674,-4.756355,-4.8023085,-4.72275675,1.0034796910749,580,0,1
"loglik[1118]",-7.44902539333333,-7.444455,-7.744524,-7.1937145,1.00383166794471,520,0,1
"loglik[1120]",-8.15404401333333,-8.14814,-8.54896175,-7.787016,1.00303595474185,660,0,1
"loglik[1121]",-5.44195141333333,-5.439335,-5.4987345,-5.40018725,1.0023014878978,870,0,1
"loglik[1130]",-4.08781556666667,-4.08719,-4.20270775,-3.97005975,1.00395715590484,510,0,1
"loglik[1132]",-5.47870332666667,-5.47255,-5.58788325,-5.40372075,1.00109637603703,1500,0,1
"loglik[1135]",-4.02680334666667,-4.023765,-4.45649575,-3.61217675,1.02818715653663,74,0,1
"loglik[1144]",-4.31931474,-4.316195,-4.48451675,-4.155609,1.0052491065701,400,0,1
"loglik[1150]",-4.38097280666667,-4.380785,-4.5830305,-4.185262,1.00127800131911,1500,0,1
"loglik[1152]",-4.45706946666667,-4.4584,-4.69609675,-4.21840875,1.00054837964354,1500,0,1
"loglik[1154]",-4.3154611,-4.311985,-4.48007775,-4.15203225,1.00564574488448,370,0,1
