"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma[1]","sigma[2]","phi"
"1330",-5.1177,0.471873,0.279813,0.427522,-0.746296,7.53925,582.819,0.272391
"1331",-5.03296,0.210782,0.349905,0.465725,-0.730599,7.74653,303.108,0.260235
"1332",-5.10761,0.222171,0.258944,0.415659,-0.611183,7.40602,129.97,0.270024
"1333",-4.66261,0.169271,0.315743,0.307752,-1.12764,7.43969,190.466,0.266233
"1334",-5.10971,0.507694,0.18093,0.524811,-0.706056,7.28823,295.69,0.279187
"1335",-5.08201,0.140041,0.259775,0.340294,-0.609237,7.63578,82.6705,0.25141
"1336",-5.10217,0.209283,0.346444,0.367666,-0.754507,7.17349,734.16,0.270622
"1337",-4.8878,0.249258,0.327392,0.437913,-0.964916,7.606,67.4452,0.265074
"1338",-4.83566,0.113834,0.329282,0.351467,-0.917646,7.25599,227.12,0.257931
"1339",-4.81634,0.464542,0.301498,0.355689,-0.978993,7.73315,87.3337,0.260434
"1340",-4.5849,0.177655,0.262436,0.403826,-1.30925,7.29366,730.598,0.276695
"1341",-4.94324,0.108359,0.275114,0.404019,-0.948884,7.47597,233.229,0.263659
"1342",-4.77387,0.0647342,0.31347,0.429678,-0.871777,7.36541,79.545,0.265194
"1343",-5.18328,0.354598,0.374667,0.392196,-0.707699,7.94518,166.163,0.25059
"1344",-5.11365,0.386631,0.387405,0.31853,-0.661558,7.33878,357.045,0.258077
"1345",-5.02036,0.206821,0.326208,0.366856,-0.697405,7.21742,94.6712,0.260459
"1346",-4.9645,0.0338727,0.290109,0.457546,-0.769767,7.26853,114.043,0.277729
"1347",-5.07978,0.241772,0.413814,0.472252,-0.67266,7.45707,136.327,0.261557
"1348",-4.49199,0.191448,0.231119,0.502255,-1.17886,6.9473,286.785,0.257201
"1349",-4.88717,0.377022,0.38124,0.458775,-0.985752,7.11582,182.183,0.256949
"1350",-4.55674,0.271119,0.420135,0.358462,-1.30045,7.18641,1025.93,0.267623
"1351",-5.07587,0.498724,0.350648,0.408533,-0.795329,7.29996,96.5941,0.273047
"1352",-4.96332,0.133617,0.375343,0.367031,-0.617854,7.64457,123.844,0.24009
"1353",-4.85122,0.185082,0.437799,0.374439,-1.01136,7.43177,108.703,0.272973
"1354",-4.97138,0.159406,0.316687,0.46378,-0.807115,7.3741,615.731,0.257223
"1355",-4.68292,0.277157,0.269335,0.463874,-1.13461,7.03469,334.421,0.255401
"1356",-4.98619,0.159252,0.279612,0.474029,-0.693,7.74941,334.215,0.231739
"1357",-4.97919,0.14445,0.40731,0.397157,-0.792784,7.24283,104.436,0.279963
"1358",-5.1733,0.397999,0.260471,0.455497,-0.722221,7.8328,122.754,0.260257
"1359",-4.85578,0.2197,0.357122,0.47104,-0.957818,7.42986,213.991,0.271239
"1360",-4.70103,0.298036,0.48031,0.499854,-1.05714,7.37274,150.587,0.265856
"1361",-4.93412,0.117266,0.288571,0.384026,-0.913697,7.40709,86.5525,0.261331
"1362",-4.98331,0.469261,0.187376,0.438852,-1.03284,7.57816,104.411,0.264073
"1363",-5.18442,0.372749,0.256194,0.471831,-0.664621,7.79137,205.323,0.254197
"1364",-4.97014,0.0209971,0.224859,0.390492,-0.705181,7.57198,5167.99,0.278803
"1365",-5.06996,0.078703,0.329445,0.270836,-0.699618,7.76237,122.452,0.267518
"1366",-4.89301,0.332744,0.334431,0.442914,-1.01964,7.10912,185.764,0.258342
"1367",-4.5646,0.120344,0.159502,0.492536,-1.1715,7.57731,118.212,0.251311
"1368",-4.76793,0.123936,0.387304,0.357092,-1.05227,7.455,13580.4,0.279078
"1369",-5.05189,0.236151,0.288796,0.370255,-0.719251,7.36398,198.559,0.260895
"1370",-4.99197,0.0713541,0.258482,0.409812,-0.793685,7.48237,61.1899,0.26455
"1371",-4.93441,0.240529,0.351038,0.373698,-0.986595,7.8659,154.885,0.248236
"1372",-5.1021,0.215741,0.315022,0.430738,-0.604343,7.55192,294.62,0.278804
"1373",-4.90088,0.111305,0.352234,0.397497,-0.901321,7.76053,1729.87,0.248531
"1374",-5.13987,0.254403,0.458191,0.273122,-0.666638,7.60471,190.921,0.266925
"1375",-4.88896,0.149642,0.377455,0.400533,-0.794554,7.87348,1975.21,0.283898
"1376",-4.65285,0.0717168,0.389133,0.454309,-1.01746,7.01339,107.465,0.261643
"1377",-5.2152,0.471666,0.283311,0.385745,-0.485209,7.48518,356.884,0.256554
"1378",-4.54466,0.0595401,0.322074,0.443372,-1.25565,7.78932,183.357,0.269812
"1379",-5.02683,0.193413,0.285203,0.327667,-0.889408,7.64389,125.345,0.267189
"1380",-4.98605,0.184409,0.292971,0.480237,-0.818752,7.33067,12569.2,0.264672
"1381",-4.56803,0.0744162,0.269173,0.419195,-1.12378,7.1013,239.637,0.255017
"1382",-5.01442,0.151671,0.301997,0.413971,-0.769922,7.78263,246.187,0.234421
"1383",-4.93278,0.437024,0.331723,0.42248,-0.804454,7.57824,1499.32,0.273307
"1384",-4.88995,0.233935,0.485823,0.363096,-0.81708,7.16932,307.077,0.267658
"1385",-4.80294,0.17118,0.457217,0.385449,-1.0061,7.50658,82.1391,0.269083
"1386",-4.54669,0.161168,0.261343,0.332414,-1.34732,7.42435,157.434,0.248456
"1387",-4.77729,0.214082,0.274734,0.346579,-1.02151,8.07435,220.925,0.260296
"1388",-4.7292,0.129208,0.342196,0.376141,-1.15451,7.2242,192.573,0.273308
"1389",-4.74368,0.157315,0.26312,0.319552,-0.998828,7.11355,11115.4,0.268248
"1390",-4.64259,-0.127927,0.406286,0.449108,-0.954186,7.73304,69.9897,0.256602
"1391",-5.113,0.266609,0.240195,0.425679,-0.664365,7.15945,77.308,0.273412
"1392",-4.76066,0.205592,0.362685,0.384634,-0.993944,7.23181,142.985,0.254323
"1393",-5.01252,0.447136,0.293216,0.372338,-0.783991,7.42083,520.799,0.285083
"1394",-4.62752,0.240879,0.385568,0.377424,-1.1377,7.55482,78.7711,0.260629
"1395",-4.7696,0.23238,0.375657,0.41683,-0.963717,7.23519,185.118,0.252684
"1396",-5.1212,0.213823,0.368813,0.388762,-0.675674,7.74176,103.129,0.260498
"1397",-4.89366,0.235962,0.350389,0.364871,-0.671129,7.49752,58.9051,0.267707
"1398",-4.91929,0.114168,0.354472,0.481165,-0.686258,7.49528,99.4226,0.257019
"1399",-4.71439,0.0790327,0.157807,0.398645,-0.968308,7.34483,200.408,0.273608
"1400",-4.91104,0.302277,0.245112,0.454153,-0.890207,7.13048,1591.08,0.276042
"1401",-5.01242,0.255385,0.296966,0.351269,-0.80986,7.24653,174.388,0.26919
"1402",-4.99868,0.25721,0.298849,0.403693,-0.862616,7.38997,514.679,0.275305
"1403",-4.70707,0.190683,0.32994,0.472348,-1.10925,7.62595,3126.97,0.249582
"1404",-4.79442,0.353561,0.289103,0.432413,-1.1225,7.35702,138,0.256816
"1405",-4.59122,0.280434,0.258093,0.500109,-1.13519,7.06231,102.167,0.26958
"1406",-4.6979,0.297044,0.290175,0.398001,-1.14819,7.30266,325.587,0.270586
"1407",-4.86301,0.204614,0.342699,0.331972,-1.02345,7.23039,2324.13,0.2655
"1408",-4.65225,0.216541,0.460537,0.407003,-1.1961,7.13431,1158.24,0.274585
"1409",-4.8718,0.255648,0.341596,0.472243,-0.870377,7.30965,106.336,0.288088
"1410",-4.90302,0.302323,0.307847,0.468962,-0.829867,7.3915,144.102,0.289697
"1411",-4.69564,0.110589,0.251358,0.481563,-1.01324,7.65631,65.007,0.28063
"1412",-4.87197,0.209019,0.383228,0.512212,-0.994608,7.50738,146.531,0.276398
"1413",-5.22058,0.260686,0.305687,0.472608,-0.563817,7.78355,296.584,0.275639
"1414",-4.83897,0.0579672,0.33114,0.380503,-0.988487,7.57374,966.276,0.263889
"1415",-4.80633,0.25,0.306988,0.353678,-0.908639,7.61655,787.571,0.271446
"1416",-5.07318,0.14838,0.299715,0.428835,-0.557178,7.60389,1017.71,0.262429
"1417",-4.31595,0.0212803,0.370275,0.378809,-1.40738,7.37007,199.515,0.277444
"1418",-4.74236,0.222312,0.452439,0.289735,-1.14877,7.5049,730.806,0.266369
"1419",-4.98247,0.322357,0.407926,0.33244,-0.92304,7.46759,248.62,0.25472
"1420",-4.91685,0.272941,0.300221,0.39929,-0.922777,7.45659,157.348,0.271738
"1421",-4.82718,0.052385,0.361185,0.456152,-0.976632,7.57601,464.345,0.278611
"1422",-4.7333,0.162565,0.27691,0.417244,-1.00606,7.82111,152.318,0.253323
"1423",-5.06323,0.164347,0.386116,0.325331,-0.776171,7.22229,116.963,0.284665
"1424",-5.05362,0.310439,0.193218,0.461817,-0.736269,7.26378,281.994,0.277559
"1425",-4.80433,0.227746,0.235443,0.401835,-0.92786,7.43613,124.312,0.257808
"1426",-5.07975,0.321507,0.233297,0.402529,-0.621542,7.40027,275.864,0.261001
"1427",-4.62622,0.0764222,0.183887,0.424687,-1.02041,7.55988,240.391,0.27243
"1428",-4.62988,0.107913,0.43151,0.409842,-1.17866,6.98107,45.3708,0.261541
"1429",-5.00935,0.186282,0.316025,0.410706,-0.739757,7.57631,4170.3,0.267754
"1430",-5.01595,0.110521,0.343325,0.39599,-0.824084,7.53202,244,0.277236
"1431",-4.61063,0.0711946,0.191649,0.45216,-1.0812,7.24908,131.458,0.282688
"1432",-4.72984,0.230818,0.411424,0.518381,-1.05377,7.37072,335.273,0.278027
