"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"141",3.82642,0.296067,0.395145,-0.165056,0.172359,-0.587272,0.117803,0.278929,1
"142",3.88675,0.283325,0.353604,0.011594,0.240668,-0.687399,0.134301,0.26348,1
"143",3.73763,0.390374,0.385963,-0.0471638,0.205115,-0.574607,0.124381,0.276943,1
"144",3.83138,0.404661,0.36865,-0.0461135,0.253027,-0.641966,0.130224,0.286403,1
"145",3.87375,0.388776,0.339883,0.0407242,0.247088,-0.755704,0.128582,0.259775,0
"146",3.84917,0.236926,0.439374,-0.221765,0.203507,-0.599872,0.122902,0.264984,1
"147",3.86562,0.228746,0.330017,-0.0994805,0.239938,-0.587338,0.130156,0.252742,1
"148",3.88595,0.249946,0.404144,-0.0537842,0.199717,-0.690093,0.125946,0.267953,0
"149",3.83216,0.349071,0.333466,-0.103238,0.229818,-0.643674,0.125015,0.265247,1
"150",3.74766,0.344086,0.316598,-0.0251716,0.279557,-0.556877,0.123912,0.272208,0
"151",3.95487,0.37051,0.364836,0.00469555,0.219355,-0.806459,0.121306,0.263027,1
"152",3.82294,0.310218,0.435813,-0.219353,0.152071,-0.668767,0.125108,0.268719,1
"153",3.86689,0.333895,0.339361,0.0704072,0.262682,-0.672838,0.133518,0.27879,1
"154",3.90089,0.211603,0.307311,-0.0683151,0.230044,-0.692454,0.129322,0.260527,1
"155",3.83611,0.321194,0.411946,-0.161945,0.19945,-0.646104,0.133318,0.265615,0
"156",3.74156,0.327226,0.404525,-0.274755,0.238784,-0.526889,0.135822,0.262061,0
"157",3.76801,0.388305,0.307855,0.00777451,0.19395,-0.560939,0.125781,0.285688,0
"158",3.75831,0.340561,0.339767,-0.0580024,0.279925,-0.547544,0.119028,0.259264,1
"159",3.898,0.446746,0.331402,0.0733019,0.284282,-0.666549,0.119643,0.261371,1
"160",3.88295,0.31756,0.432266,-0.154571,0.19536,-0.673362,0.120745,0.265253,1
"161",3.85307,0.323484,0.397509,-0.156462,0.213567,-0.710586,0.130776,0.262685,1
"162",3.84565,0.265182,0.280474,-0.0894627,0.212106,-0.628684,0.124225,0.243285,0
"163",3.81491,0.347193,0.344361,-0.148371,0.238296,-0.65719,0.131326,0.263623,0
"164",3.7692,0.342032,0.352478,-0.0558286,0.227665,-0.564095,0.130623,0.2838,1
"165",3.82575,0.41607,0.407299,-0.0529991,0.263553,-0.667197,0.130834,0.286685,1
"166",3.84953,0.280912,0.370823,-0.115709,0.238547,-0.62123,0.128527,0.269749,0
"167",3.94672,0.23632,0.339573,0.0385124,0.235279,-0.762101,0.130236,0.281372,0
"168",3.90943,0.223884,0.370088,0.00406168,0.270836,-0.615537,0.137966,0.259939,0
"169",3.70266,0.500042,0.392073,-0.113433,0.203066,-0.496919,0.124816,0.278644,1
"170",3.84755,0.283629,0.317473,-0.0255138,0.262511,-0.643435,0.132701,0.275617,0
"171",3.95708,0.261004,0.293022,0.101417,0.286447,-0.730668,0.133084,0.273836,1
"172",3.91102,0.327892,0.463988,-0.0431443,0.153295,-0.771004,0.126212,0.280467,1
"173",3.95512,0.221023,0.342862,0.0126481,0.217091,-0.811556,0.127589,0.269263,1
"174",3.9402,0.2382,0.402447,-0.113978,0.207147,-0.690724,0.120589,0.260467,0
"175",3.82463,0.316957,0.267706,0.141544,0.341608,-0.599478,0.135195,0.290055,1
"176",3.74514,0.423256,0.463579,-0.155478,0.215295,-0.507737,0.12896,0.253351,1
"177",3.86331,0.310343,0.31479,-0.000140595,0.216729,-0.646189,0.133686,0.257457,0
"178",3.82743,0.331038,0.291407,-0.0744404,0.189285,-0.521642,0.131326,0.251117,1
"179",3.92451,0.241046,0.404287,-0.141087,0.244327,-0.746599,0.132877,0.263492,1
"180",3.90352,0.28955,0.359378,0.0414693,0.238524,-0.761168,0.123364,0.248649,1
"181",3.75374,0.387282,0.381739,-0.231615,0.144132,-0.575028,0.119185,0.261076,1
"182",3.85556,0.296461,0.420533,-0.30285,0.198463,-0.692488,0.127387,0.277477,0
"183",3.84869,0.305528,0.360558,-0.108023,0.208362,-0.598403,0.126855,0.272769,1
"184",3.83887,0.254781,0.461537,-0.156388,0.213351,-0.587958,0.126293,0.275364,1
