"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","m.phi","var.phi"
"185",3.7983,0.389986,0.335665,0.177816,-0.627906,7.70458,0.249375,0.0432037
"186",3.87407,0.299866,0.334375,0.272159,-0.760432,7.49902,0.273103,0.037881
"187",3.84711,0.256857,0.276721,0.248289,-0.5791,7.6066,0.262752,0.0184866
"188",3.72476,0.410542,0.287589,0.198958,-0.444923,7.29141,0.281034,0.0583235
"189",3.8586,0.377141,0.330668,0.245708,-0.727749,7.14445,0.246915,0.0233875
"190",3.95507,0.277667,0.391948,0.253339,-0.785968,7.61083,0.25994,0.0172072
"191",3.78321,0.448247,0.282502,0.241483,-0.546191,7.33213,0.274275,0.0359695
"192",3.78864,0.317502,0.375843,0.178535,-0.583563,7.71269,0.288148,0.056534
"193",3.7348,0.412066,0.322742,0.289551,-0.621882,7.71671,0.267363,0.0432081
"194",3.79695,0.38535,0.330665,0.279586,-0.575633,7.56094,0.260555,0.0257032
"195",3.81478,0.363983,0.294718,0.310828,-0.61492,7.27081,0.265277,0.0183003
"196",3.75888,0.568275,0.371697,0.237828,-0.600305,7.4407,0.276881,0.0176158
"197",3.82525,0.319777,0.357104,0.269112,-0.566436,7.10091,0.2654,0.0293839
"198",3.88731,0.258967,0.304435,0.220238,-0.650921,7.54019,0.254953,0.0137665
"199",3.7926,0.319214,0.362057,0.228146,-0.533699,7.41423,0.287118,0.0906896
"200",3.96452,0.254602,0.297746,0.229008,-0.747686,8.28697,0.281964,0.04259
"201",3.92255,0.257183,0.319931,0.167016,-0.741536,7.25899,0.27776,0.0217923
"202",3.80323,0.343712,0.308382,0.266824,-0.616019,7.17205,0.280685,0.0162684
"203",3.80261,0.39911,0.401532,0.21147,-0.57899,7.41723,0.28051,0.0183859
"204",3.77712,0.358735,0.250999,0.241019,-0.593637,8.01769,0.27261,0.0494217
"205",3.862,0.293316,0.322439,0.254828,-0.705027,7.24072,0.269584,0.0151157
"206",3.86126,0.344436,0.317676,0.161495,-0.671541,7.20328,0.246114,0.0170441
"207",3.84973,0.301754,0.305679,0.257866,-0.65887,7.13527,0.251266,0.0145641
"208",3.93576,0.277545,0.252914,0.321352,-0.727581,8.15267,0.262102,0.0178308
"209",3.83521,0.252673,0.374411,0.213208,-0.646952,7.41691,0.247769,0.0152554
"210",3.70382,0.487089,0.340407,0.243737,-0.527701,7.4246,0.27161,0.0403054
"211",3.87805,0.362405,0.302922,0.234368,-0.60645,7.14448,0.260265,0.0917638
"212",3.80673,0.245373,0.330493,0.204629,-0.564987,7.77239,0.268703,0.0268394
"213",3.88563,0.3131,0.313207,0.298415,-0.645949,7.66638,0.271219,0.0154337
"214",3.86837,0.211832,0.295933,0.273269,-0.624894,7.91565,0.256099,0.0357148
"215",3.86416,0.370266,0.320818,0.229327,-0.679686,7.41729,0.277433,0.0195835
"216",3.81519,0.383473,0.368401,0.252066,-0.651252,7.43086,0.262403,0.0886703
"217",3.86753,0.343412,0.334129,0.216719,-0.66385,7.84966,0.26348,0.0182944
"218",3.97298,0.350715,0.336865,0.234621,-0.799805,7.56657,0.290446,0.0204053
"219",4.00549,0.356453,0.402352,0.179615,-0.792834,7.32113,0.262503,0.0159776
"220",3.83633,0.326821,0.335102,0.259958,-0.625799,7.67269,0.269657,0.0225534
"221",3.72708,0.351465,0.344516,0.239677,-0.51898,7.90864,0.273518,0.0565078
"222",3.82949,0.409251,0.309196,0.248964,-0.589999,7.52038,0.286686,0.0397973
"223",3.7858,0.403444,0.361058,0.187299,-0.634455,7.53917,0.260601,0.024351
"224",3.78463,0.341004,0.339028,0.264144,-0.57919,7.76506,0.25279,0.0159934
"225",3.88483,0.311886,0.293528,0.189697,-0.617496,7.1666,0.26273,0.0147186
"226",3.84129,0.351284,0.32113,0.234285,-0.586157,7.36953,0.251346,0.0157305
"227",3.9269,0.375434,0.390102,0.253512,-0.730426,7.54931,0.281352,0.0317667
"228",3.92468,0.387145,0.292247,0.261899,-0.702828,7.51824,0.262532,0.0663004
"229",3.83664,0.267297,0.358754,0.186082,-0.671578,7.90256,0.281389,0.028982
"230",3.94696,0.274221,0.350293,0.233669,-0.704992,7.44775,0.258196,0.0226324
"231",3.9307,0.336666,0.310214,0.251219,-0.711115,7.44835,0.263749,0.0161504
"232",3.76422,0.479854,0.295183,0.23546,-0.600123,7.54906,0.258809,0.0424884
"233",3.67591,0.410609,0.323584,0.203352,-0.445891,7.63711,0.28739,0.0207942
"234",3.89508,0.371805,0.416311,0.268132,-0.739741,7.33192,0.273668,0.0145285
"235",3.86114,0.330326,0.311411,0.318357,-0.654141,7.49831,0.254176,0.0144496
"236",3.91578,0.372557,0.41826,0.190998,-0.756512,7.59627,0.270873,0.018034
"237",3.79362,0.517032,0.331046,0.25265,-0.637889,7.30227,0.275392,0.0628597
"238",3.82068,0.359764,0.303606,0.219715,-0.573136,7.32966,0.267548,0.0163922
"239",3.8192,0.370926,0.401636,0.219056,-0.688222,7.39937,0.281422,0.0151785
"240",3.92952,0.299948,0.387712,0.215845,-0.751917,7.34796,0.266081,0.0178829
"241",3.82617,0.264266,0.366548,0.212948,-0.618313,7.25918,0.256079,0.0159918
"242",3.93992,0.293944,0.359047,0.246504,-0.730621,7.32988,0.26378,0.0386251
"243",3.78934,0.550407,0.33214,0.309657,-0.606576,7.72111,0.264067,0.0223673
"244",3.77584,0.323898,0.386025,0.227091,-0.528655,7.95747,0.268951,0.0216193
"245",3.82288,0.434803,0.338839,0.264005,-0.688364,7.69005,0.304515,0.0468589
"246",3.96011,0.275314,0.295812,0.256716,-0.792591,7.64848,0.277247,0.105059
"247",3.6668,0.46774,0.348036,0.233535,-0.45093,7.31379,0.257974,0.0248074
"248",3.84214,0.367137,0.348808,0.253391,-0.616617,7.50641,0.276685,0.0394172
"249",3.76343,0.490749,0.290144,0.237897,-0.610993,7.31561,0.269269,0.077812
"250",3.80899,0.35023,0.350663,0.256523,-0.633926,7.71819,0.280463,0.0599113
"251",3.75881,0.537568,0.320683,0.261755,-0.573358,7.58809,0.243402,0.0142203
"252",3.96299,0.294466,0.283087,0.26988,-0.695895,7.40191,0.268885,0.0515804
"253",3.82024,0.355284,0.25789,0.244025,-0.582129,8.13847,0.269006,0.0188751
"254",3.87716,0.312246,0.303081,0.232632,-0.698158,7.85631,0.285664,0.0187649
"255",3.89997,0.227295,0.313659,0.240863,-0.583236,7.38932,0.25391,0.0195569
"256",3.96223,0.237098,0.344468,0.270892,-0.733017,7.78539,0.260545,0.0161782
"257",3.8694,0.312673,0.299864,0.22769,-0.666641,7.18537,0.261245,0.0167776
"258",3.74212,0.451191,0.377671,0.222453,-0.553881,7.5557,0.265728,0.0514877
"259",3.89177,0.359595,0.331682,0.210441,-0.675427,7.46712,0.284305,0.0199174
"260",3.77489,0.324031,0.314924,0.237893,-0.53955,7.50032,0.277014,0.0203213
"261",3.884,0.373161,0.308212,0.2324,-0.659812,7.70513,0.268947,0.0160674
"262",3.88379,0.290499,0.344717,0.252214,-0.636265,7.7437,0.262955,0.0426928
"263",3.78914,0.352812,0.406129,0.232608,-0.683537,7.61786,0.285454,0.0164876
"264",3.85965,0.269265,0.340732,0.182314,-0.648231,7.23812,0.279485,0.0557313
"265",3.88329,0.202106,0.35406,0.19581,-0.612064,7.46782,0.271969,0.102675
"266",3.89207,0.317146,0.366815,0.226822,-0.702121,7.31937,0.27707,0.0207454
"267",3.78548,0.314146,0.399575,0.23847,-0.639475,7.30719,0.284331,0.029093
"268",3.8341,0.401942,0.339977,0.225705,-0.611909,7.56285,0.278267,0.0225094
"269",3.85642,0.373721,0.289231,0.241341,-0.671184,7.2758,0.279826,0.0406603
"270",3.83913,0.417155,0.360846,0.217227,-0.615478,7.34736,0.255443,0.0173517
"271",3.84095,0.266581,0.283347,0.229384,-0.599007,7.53644,0.273765,0.0178889
"272",3.92399,0.204903,0.294651,0.221839,-0.660173,7.62504,0.256258,0.0218014
"273",3.84878,0.343313,0.316028,0.320316,-0.648202,7.80307,0.265923,0.0175015
"274",3.99351,0.241818,0.446375,0.213763,-0.815807,7.58437,0.26528,0.0195768
"275",3.78177,0.3323,0.267008,0.207366,-0.519289,7.73587,0.275948,0.0998882
"276",4.05244,0.24069,0.341367,0.261937,-0.848148,7.26465,0.252669,0.0220978
"277",3.92511,0.408402,0.284131,0.236401,-0.693799,7.77707,0.267427,0.0159975
"278",3.85325,0.330485,0.234891,0.260923,-0.631499,7.17384,0.261129,0.024238
"279",3.94826,0.232567,0.349004,0.25262,-0.716064,7.25585,0.276328,0.0500673
"280",3.91418,0.258157,0.325753,0.227382,-0.654418,7.72846,0.275333,0.0278426
"281",3.7659,0.327782,0.309972,0.272612,-0.541747,7.65957,0.267867,0.0151055
"282",3.89346,0.2784,0.346653,0.225652,-0.707341,7.79012,0.253013,0.0187996
"283",3.82387,0.283864,0.370642,0.256374,-0.60958,7.68208,0.279641,0.092991
"284",3.74645,0.449527,0.311387,0.221652,-0.612799,7.0994,0.260861,0.0336594
"285",3.81111,0.374186,0.279924,0.247786,-0.586405,7.63549,0.271738,0.0549627
"286",3.74705,0.298083,0.367163,0.217675,-0.567799,7.36862,0.260245,0.0155853
"287",3.94924,0.226214,0.359033,0.206511,-0.759258,7.54512,0.255604,0.0600876
"288",3.80727,0.346918,0.314333,0.241451,-0.699093,7.38711,0.260681,0.0873479
"289",3.85458,0.274776,0.382927,0.218824,-0.649116,7.37918,0.265908,0.0148921
"290",3.76815,0.4346,0.345091,0.238623,-0.571014,7.36252,0.243369,0.0281102
"291",3.90412,0.22937,0.307775,0.220776,-0.688782,7.61664,0.267108,0.0372886
"292",3.88202,0.332512,0.261417,0.228393,-0.626251,7.25158,0.267556,0.0869149
"293",3.91961,0.373752,0.318774,0.297601,-0.7794,7.30266,0.26007,0.017801
"294",3.89973,0.298407,0.392785,0.178564,-0.715037,7.34002,0.259765,0.0619248
"295",3.75872,0.242403,0.293527,0.207782,-0.557143,8.04975,0.277813,0.0509741
"296",3.81995,0.480813,0.375735,0.263237,-0.711941,7.67051,0.266941,0.0398683
"297",3.7564,0.431829,0.291584,0.278345,-0.569696,7.61574,0.274193,0.0189039
"298",3.81953,0.325444,0.292342,0.246173,-0.638453,7.27941,0.28067,0.0184024
"299",3.87311,0.352211,0.299207,0.220461,-0.658329,7.17915,0.261345,0.026088
"300",3.89815,0.284635,0.298916,0.258084,-0.733779,7.56164,0.266608,0.0384414
