"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"260",3.70634,0.502807,0.355016,0.229765,-0.515024,7.67502,0.264379
"261",3.75861,0.492666,0.339216,0.284461,-0.559032,7.85327,0.282903
"262",3.84632,0.395422,0.431405,0.190034,-0.65509,7.54458,0.264256
"263",3.74479,0.405443,0.282893,0.238139,-0.534912,7.46614,0.260617
"264",3.93477,0.286501,0.347692,0.227638,-0.766508,7.64341,0.266746
"265",3.93406,0.27032,0.351336,0.20697,-0.733117,7.49066,0.265067
"266",3.74517,0.392356,0.310709,0.192417,-0.614803,7.90161,0.261539
"267",3.89453,0.261854,0.324752,0.178869,-0.622945,7.72436,0.254036
"268",3.98188,0.179935,0.347013,0.272831,-0.787901,7.48538,0.267499
"269",3.80584,0.384635,0.304287,0.266359,-0.650991,7.34218,0.266267
"270",3.8218,0.356098,0.324113,0.255783,-0.61123,7.46332,0.269017
"271",3.79556,0.360047,0.314757,0.220617,-0.602805,7.1528,0.272386
"272",3.83153,0.402766,0.340575,0.260681,-0.628265,7.3621,0.272987
"273",3.79852,0.442791,0.351923,0.208886,-0.611341,7.6008,0.266759
"274",3.95375,0.313374,0.375798,0.273785,-0.77778,7.3269,0.261183
"275",3.92007,0.327773,0.326563,0.279464,-0.770399,6.91068,0.277609
"276",3.92259,0.345179,0.371119,0.211623,-0.70651,7.07727,0.266516
"277",3.90083,0.300363,0.340581,0.276634,-0.699546,7.49153,0.259144
"278",3.84813,0.325524,0.314381,0.226367,-0.665056,7.59609,0.268717
"279",3.90973,0.268521,0.351561,0.276191,-0.705963,7.35654,0.270646
"280",3.84232,0.283991,0.343156,0.167133,-0.617074,7.72456,0.244927
"281",3.96211,0.405203,0.320522,0.260937,-0.734108,7.23305,0.268326
"282",3.88687,0.354423,0.35313,0.252172,-0.664455,7.57445,0.29221
"283",3.84795,0.364754,0.364914,0.300054,-0.677447,8.06987,0.272097
"284",3.83613,0.432337,0.289201,0.29009,-0.599844,7.71991,0.273218
