"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"318",4.02836,-0.0210597,0.392808,0.232866,-0.753194,7.86754,0.274008
"319",4.12305,-0.0274475,0.393988,0.280064,-0.826785,7.47867,0.266118
"320",4.08689,0.0885949,0.32877,0.210674,-0.839956,7.77895,0.274548
"321",3.85297,0.13071,0.345686,0.270503,-0.620604,7.42984,0.281914
"322",4.01229,0.087617,0.394414,0.21933,-0.868146,7.32304,0.274
"323",4.09828,0.0362973,0.330024,0.281024,-0.840398,7.61083,0.267273
"324",3.9937,0.157089,0.34574,0.187351,-0.863903,7.66748,0.262598
"325",4.0486,0.111756,0.349939,0.223002,-0.845397,7.65753,0.271146
"326",3.91361,0.237172,0.321463,0.250659,-0.718536,7.68685,0.271754
"327",3.98512,0.178862,0.354896,0.199442,-0.798614,7.50435,0.272469
"328",3.83687,0.152209,0.312036,0.285185,-0.513296,7.9342,0.259973
"329",4.03777,0.157811,0.361355,0.210123,-0.745871,7.59577,0.265848
"330",4.07289,0.0268427,0.340932,0.232551,-0.803226,7.40732,0.250923
"331",4.0343,0.0463669,0.408597,0.217684,-0.833999,7.97243,0.263981
"332",3.91164,0.118081,0.317426,0.209193,-0.710256,7.73795,0.244196
"333",3.97248,0.131157,0.291813,0.279215,-0.745283,7.60177,0.249353
"334",3.91944,0.185341,0.327326,0.26975,-0.757926,6.92422,0.261344
"335",4.03029,0.0105844,0.358403,0.257718,-0.797358,7.5813,0.267041
"336",3.92689,0.184338,0.339379,0.252208,-0.783761,7.05622,0.253897
"337",4.02257,0.075016,0.36179,0.206868,-0.792935,7.65134,0.264065
"338",4.02263,0.146168,0.359734,0.247274,-0.839882,8.05287,0.282687
"339",4.06033,0.0476406,0.39012,0.233915,-0.874714,7.63032,0.254092
"340",4.00127,0.141325,0.325152,0.283531,-0.773883,7.37011,0.273118
"341",3.97256,0.135688,0.328557,0.246924,-0.700066,7.40497,0.261678
"342",3.96574,0.121609,0.368192,0.226544,-0.715497,7.65091,0.278197
"343",3.88142,0.252276,0.304094,0.294876,-0.781042,8.13879,0.271268
"344",3.94168,0.0533848,0.279137,0.211806,-0.713663,7.45252,0.2691
"345",3.97095,0.054104,0.340535,0.176751,-0.733084,7.49052,0.262969
"346",3.94547,0.0191768,0.29665,0.233612,-0.704405,8.03642,0.257563
"347",3.93161,0.199047,0.406595,0.265295,-0.760167,7.28236,0.267555
"348",4.08122,0.153293,0.343216,0.308442,-0.976573,7.27569,0.269716
"349",4.0513,-0.0183771,0.300277,0.183563,-0.802339,7.5148,0.269569
"350",3.93165,0.119934,0.309693,0.239475,-0.757289,7.45172,0.271311
"351",3.91483,0.090512,0.355407,0.222095,-0.719995,7.30975,0.271166
