"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"279",3.31377,0.105725,0.113863,0.0747305,0.155237,7.63689,0.190112
"280",3.46683,0.0283903,0.10925,0.0476133,0.00430722,7.90327,0.199488
"281",3.32407,0.0677745,0.1164,0.0409343,0.173752,7.86322,0.195206
"282",3.25537,0.00257759,0.136917,0.0671998,0.272701,8.11703,0.190078
"283",3.26582,0.0701723,0.145266,0.0114035,0.20845,7.76604,0.198456
"284",3.31703,0.0968311,0.128669,0.071139,0.156434,7.66626,0.196903
"285",3.28387,0.148725,0.158809,0.0430416,0.186243,7.8449,0.19611
"286",3.26875,0.080566,0.161492,0.0614857,0.227441,7.55228,0.198666
"287",3.33201,0.105093,0.123171,0.0402619,0.150089,7.77624,0.195279
"288",3.21573,0.118358,0.145186,0.0864477,0.287238,7.75799,0.194191
"289",3.27257,-0.0146523,0.124299,0.0964531,0.285029,7.76698,0.182191
"290",3.2507,0.0112389,0.164349,0.0762313,0.25142,8.07493,0.186657
"291",3.31053,0.0637553,0.13997,0.103969,0.212731,7.95972,0.190286
"292",3.29388,0.0832101,0.163414,0.0752984,0.210146,7.83175,0.19856
"293",3.35116,0.1322,0.141877,0.0489772,0.144977,7.65905,0.193242
"294",3.31145,-0.00720422,0.127373,0.0229969,0.16811,7.84188,0.190127
"295",3.37362,0.0774102,0.127693,0.0328818,0.0878955,7.66185,0.18883
"296",3.29456,0.131626,0.13892,0.0524503,0.185681,7.71042,0.187975
"297",3.34756,0.0187121,0.123471,0.056294,0.182635,7.47905,0.190009
"298",3.22208,0.127891,0.131207,0.045464,0.224926,7.68183,0.19415
"299",3.30602,0.0715448,0.138036,0.0791144,0.238079,8.01099,0.198516
"300",3.22113,0.0818316,0.160274,0.0762355,0.300918,7.66014,0.190973
"301",3.28083,-0.00958803,0.17,0.0396776,0.262394,7.74193,0.195783
"302",3.29864,0.0402819,0.170893,0.0771544,0.193573,7.66194,0.195674
"303",3.25291,0.103525,0.171089,0.0369709,0.240185,8.09475,0.190388
"304",3.29142,0.0331422,0.117582,0.0789678,0.207093,7.6887,0.195526
"305",3.3187,0.101987,0.120044,0.0770135,0.170477,7.66445,0.20292
"306",3.31004,0.0773174,0.158167,0.0911593,0.174635,7.76038,0.185095
"307",3.30335,0.128155,0.128022,0.0614985,0.124468,7.922,0.200643
"308",3.34568,0.0367265,0.166336,0.0680697,0.135281,7.86736,0.190897
"309",3.26508,0.0656675,0.187923,0.0546825,0.240088,7.71923,0.193627
"310",3.29758,0.0150107,0.181762,0.0446478,0.216286,7.78058,0.18416
"311",3.31359,0.00547426,0.168658,0.0639245,0.222799,7.89477,0.192675
"312",3.27554,0.00616701,0.173663,0.0686397,0.277901,7.73937,0.192015
"313",3.21012,0.0726977,0.179102,0.0446885,0.285304,7.99861,0.188347
"314",3.38837,0.0197708,0.130162,0.0152538,0.16249,8.00792,0.191548
"315",3.35327,0.102523,0.165944,0.0596146,0.168893,7.73313,0.183769
"316",3.29848,0.0296657,0.149335,0.0769381,0.294047,7.70703,0.189032
"317",3.32819,0.0397722,0.126618,0.0676114,0.22112,7.96485,0.187565
"318",3.23858,0.112233,0.137955,0.0705018,0.269596,7.94026,0.19944
"319",3.29569,0.0414646,0.151726,0.0675167,0.207503,7.95353,0.194871
"320",3.27174,0.130571,0.125126,0.0903707,0.232422,7.41844,0.187869
"321",3.28914,0.0651445,0.159134,0.0631048,0.212082,7.65235,0.19086
"322",3.27214,0.0866528,0.147372,0.0303519,0.237424,7.71856,0.184083
"323",3.35013,0.0714598,0.101402,0.0275927,0.168196,7.82687,0.184756
"324",3.26862,0.006567,0.156936,0.0511151,0.207411,7.57297,0.192678
"325",3.38661,0.09359,0.105958,0.0643472,0.119188,7.79075,0.196329
"326",3.2658,0.0216301,0.116474,0.0475374,0.223191,7.91058,0.199939
"327",3.26982,0.141662,0.149978,0.037244,0.165975,7.77692,0.196315
"328",3.27884,0.0212577,0.199021,0.0266386,0.241447,7.8154,0.193879
"329",3.30675,0.0743481,0.191762,0.00769785,0.176187,7.89463,0.193361
"330",3.33556,0.0247493,0.169205,0.0551455,0.16372,7.76638,0.198005
"331",3.30024,0.0679664,0.144827,0.0564283,0.17265,7.65311,0.201398
"332",3.20457,0.114265,0.133503,0.0264468,0.291454,7.79157,0.19652
"333",3.33334,0.0875771,0.136026,0.0409718,0.184303,7.61222,0.195085
"334",3.35978,-0.0364593,0.152212,0.0386705,0.179682,7.62759,0.197348
"335",3.30723,0.0261249,0.133992,0.0401407,0.220182,7.50414,0.188714
"336",3.29019,0.0656262,0.15025,0.0788228,0.212027,7.9231,0.186232
"337",3.34067,-0.0203886,0.16112,0.0543745,0.196399,7.45846,0.196758
"338",3.26409,0.0770395,0.174595,0.0574447,0.217587,7.51205,0.187456
"339",3.32529,0.0302894,0.136373,0.0329101,0.179871,7.78801,0.188887
"340",3.39971,0.0386061,0.125522,0.0354387,0.102351,7.93947,0.187873
"341",3.42145,0.0656661,0.107315,0.0602177,0.0622001,8.08074,0.193539
"342",3.20712,0.107729,0.130573,0.100933,0.299401,7.58776,0.197842
"343",3.26597,0.111135,0.130621,0.0453887,0.230826,7.72262,0.187395
"344",3.37414,-0.0691533,0.192159,0.0388834,0.193861,7.88459,0.191624
"345",3.24069,0.162315,0.173361,0.0707548,0.249224,7.81436,0.189034
"346",3.32863,0.0471373,0.134666,0.0779741,0.195647,7.56744,0.197927
"347",3.25547,0.094238,0.141709,0.0819415,0.279546,7.72246,0.190448
"348",3.31807,0.0717855,0.15647,0.0756244,0.237958,7.73228,0.188744
"349",3.28784,0.0492558,0.137408,0.0459011,0.213966,7.72337,0.197644
"350",3.3121,0.070223,0.168812,0.0696038,0.20817,7.66638,0.187583
