"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"163",3.34262,0.604414,-0.067035,-0.0503819,-0.11164,6.78484,0.27904
"164",3.44424,0.505001,-0.0887863,-0.0114949,-0.0473232,6.71409,0.276129
"165",3.44933,0.381296,-0.0896092,-0.0805259,-0.0967299,7.00957,0.301903
"166",3.36257,0.579522,-0.105286,-0.060835,-0.112554,6.94274,0.296608
"167",3.37722,0.503717,-0.0363897,-0.0450215,-0.25397,6.54892,0.286043
"168",3.36011,0.570454,-0.040921,-0.0188779,-0.200571,6.43577,0.270613
"169",3.39347,0.563746,0.00649744,-0.0697536,0.00665695,6.35158,0.27764
"170",3.31888,0.610694,-0.035586,-0.0143465,0.0919517,6.30526,0.289193
"171",3.33817,0.532077,-0.03135,-0.0810032,-0.00411796,6.26449,0.274844
"172",3.3756,0.5455,-0.0484529,-0.0197115,0.0715961,6.56342,0.281942
"173",3.34328,0.518792,-0.0578091,-0.043865,-0.0483299,6.57171,0.285745
"174",3.35207,0.485594,-0.0849327,-0.070852,-0.0451633,6.59228,0.262711
"175",3.37738,0.61025,-0.0722885,-0.0393671,0.130639,6.51479,0.285411
"176",3.36199,0.470324,-0.0253223,-0.0471652,0.135719,6.45231,0.298369
"177",3.38471,0.593945,-0.134094,-0.0151744,-0.203335,6.68076,0.278882
"178",3.3393,0.566458,-0.0978851,-0.0260179,0.140191,6.33224,0.276583
"179",3.29071,0.581371,-0.0245985,-0.0101024,0.0743869,6.60709,0.279765
"180",3.33915,0.494744,-0.069629,-0.0649406,-0.0184198,6.51371,0.26838
"181",3.42784,0.467762,-0.0460801,-0.0250812,-0.0530836,6.78932,0.276913
"182",3.39193,0.599409,-0.0460825,-0.0815836,-0.309137,6.87104,0.279418
"183",3.34226,0.671736,-0.0610106,-0.0941128,-0.260633,6.75285,0.287671
"184",3.32404,0.603311,-0.0131991,-0.0749667,-0.189786,6.76534,0.255503
"185",3.42529,0.592803,-0.0468619,-0.0893008,-0.166966,6.64941,0.293265
"186",3.39908,0.611861,-0.0538889,-0.0649084,-0.0644376,6.56979,0.26856
"187",3.38942,0.590561,-0.105881,-0.0381885,-0.192663,6.60337,0.26791
"188",3.41426,0.558444,-0.0411353,-0.0329435,0.0269602,6.4713,0.290872
"189",3.41329,0.474435,-0.122663,-0.0509814,-0.0705647,7.02119,0.285485
"190",3.3268,0.662682,-0.0163444,-0.0655563,-0.32095,6.85194,0.288067
"191",3.34949,0.594297,-0.0120589,-0.0506293,-0.0473889,6.64154,0.286095
"192",3.37431,0.662938,-0.0708806,-0.10471,-0.191545,6.69655,0.266614
"193",3.34662,0.622465,-0.0734373,-0.0830485,-0.173247,7.00879,0.270063
"194",3.3392,0.471307,-0.0457951,-0.0491466,0.0356213,6.85905,0.267508
"195",3.35625,0.60109,-0.111856,-0.111525,-0.371771,6.4673,0.275497
"196",3.33555,0.649962,-0.0389857,-0.124738,-0.0902438,6.68734,0.273428
"197",3.49808,0.422203,-0.0863446,-0.074955,-0.107231,6.90468,0.283227
"198",3.41893,0.485727,-0.0423946,-0.114261,-0.179885,6.47874,0.280351
"199",3.33283,0.614595,-0.0124655,-0.0544369,-0.13729,6.82524,0.262255
"200",3.32687,0.530205,-0.0660513,-0.0451984,-0.184793,6.53149,0.28236
"201",3.4259,0.509054,-0.0116716,-0.0559404,-0.0254084,7.14673,0.269867
"202",3.51762,0.467121,-0.146269,-0.079513,-0.237173,6.95248,0.257717
"203",3.39372,0.5619,-0.0970641,-0.0193095,-0.106291,6.54901,0.275688
"204",3.38696,0.543188,-0.0833211,-0.0776486,0.0172949,6.54896,0.287119
"205",3.40562,0.557953,-0.108345,-0.00392663,-0.113653,6.6125,0.272072
"206",3.40603,0.548172,-0.0452494,-0.0514199,-0.0552867,6.53205,0.261838
"207",3.40178,0.519114,-0.0924792,0.0408337,0.00077833,6.55678,0.27228
"208",3.42258,0.393936,-0.0152274,-0.0656449,0.00775919,6.8566,0.287414
"209",3.33689,0.683428,-0.0450323,-0.116914,-0.237672,6.69639,0.274135
"210",3.32127,0.574313,-0.0836191,-0.00307667,0.0240732,6.46523,0.26339
"211",3.37059,0.502478,-0.0717473,-0.0883082,-0.179963,6.34914,0.279425
"212",3.38392,0.571416,-0.0834557,-0.0910042,-0.296293,6.84119,0.286061
"213",3.30325,0.519335,-0.018835,-0.0714164,0.109987,7.00326,0.293865
"214",3.3963,0.551271,-0.0424963,-0.0713791,-0.234676,6.81111,0.278393
"215",3.33503,0.55275,-0.0390652,-0.0310374,0.00259457,6.9583,0.281425
"216",3.38047,0.469215,-0.0116769,-0.123428,-0.123548,6.54184,0.272509
"217",3.38014,0.582714,-0.0937028,-0.0413114,-0.221684,6.5853,0.259829
"218",3.36695,0.560405,-0.107912,-0.0583114,-0.163172,6.77162,0.286481
"219",3.32404,0.595432,-0.055549,-0.0100004,-0.0702569,6.3851,0.275458
"220",3.34625,0.633087,-0.1183,-0.0499601,0.0864542,6.6872,0.265371
"221",3.3589,0.692042,-0.0400428,-0.0175256,0.0730493,6.40162,0.269951
"222",3.35547,0.522324,-0.0683059,-0.0166038,0.212275,6.9054,0.295708
"223",3.46303,0.347017,-0.0534356,-0.0879579,-0.172042,7.10633,0.282426
"224",3.36161,0.557112,-0.141651,-0.0965812,0.157804,6.49376,0.273631
"225",3.36929,0.515199,-0.0825877,-0.0451737,-0.220871,6.52715,0.276287
"226",3.34565,0.478457,-0.119732,-0.0469884,-0.167743,6.87373,0.274063
"227",3.33855,0.540878,-0.058784,-0.0723715,-0.239645,6.78196,0.264861
"228",3.33715,0.614686,0.00248354,-0.0211948,-0.0778594,6.75039,0.273308
"229",3.36802,0.525841,-0.0957252,-0.0139681,0.172211,7.00174,0.260563
"230",3.34574,0.647993,-0.0397375,-0.0483623,-0.345969,6.53242,0.293859
"231",3.37689,0.574518,-0.0573615,-0.0775095,-0.104964,6.77073,0.255038
"232",3.35317,0.4923,-0.0681134,-0.0905989,-0.0587539,6.50162,0.267574
